"Data on activities of multinational enterprises"
"U.S. Direct Investment Abroad,All U.S. Parent Companies (data for 2009 and forward),Total Assets" 
"Bureau of Economic Analysis" 
"By Industry of U.S. Parent Company (All Industries) (NAICS) (Millions of Dollars) <br/>"
"","Total Assets","Total Assets","Total Assets","Total Assets","Total Assets","Total Assets","Total Assets","Total Assets","Total Assets","Total Assets","Total Assets"
"  Wood products",12456                  ,11422                  ,6392                   ,2874                   ,4277                   ,6752                   ,6877                   ,23156                  ,7337                   ,7158                   ,8810                   
"  Paper",128133                 ,132239                 ,120447                 ,131370                 ,137559                 ,135928                 ,150767                 ,150018                 ,151408                 ,149140                 ,165145                 
"    Pulp, paper, and paperboard mills",71599                  ,68015                  ,66089                  ,73516                  ,73726                  ,70859                  ,85742                  ,82094                  ,79694                  ,79665                  ,86152                  
"    Converted paper products",56535                  ,64224                  ,54358                  ,57854                  ,63832                  ,65069                  ,65025                  ,67924                  ,71714                  ,69475                  ,78993                  
"  Printing and related support activities",25953                  ,28369                  ,29451                  ,29932                  ,27494                  ,19693                  ,27897                  ,26083                  ,28704                  ,29531                  ,30287                  
"  Petroleum and coal products",845397                 ,937745                 ,996822                 ,1070619               ,1137048               ,1140425               ,1101973               ,1124080               ,1043595               ,1070706               ,1145276               
"    Integrated petroleum refining and extraction",708231                 ,815242                 ,841483                 ,863242                 ,887652                 ,865871                 ,826167                 ,837111                 ,719193                 ,735476                 ,785237                 
"    Petroleum refining excluding oil and gas extraction","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"    Asphalt and other petroleum and coal products","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"  Chemicals",1224438               ,1236544               ,1279040               ,1389263               ,1445979               ,1658093               ,1763814               ,1842123               ,2185753               ,2165549               ,2109288               
"    Basic chemicals",132137                 ,131333                 ,131959                 ,145379                 ,156851                 ,168900                 ,174345                 ,183918                 ,208833                 ,222230                 ,221002                 
"    Resins and synthetic rubber, fibers, and filaments",114228                 ,117701                 ,122734                 ,130696                 ,126320                 ,133620                 ,145268                 ,142683                 ,303826                 ,296918                 ,166907                 
"    Pharmaceuticals and medicines",770767                 ,776541                 ,802375                 ,875157                 ,912695                 ,1087288               ,1197772               ,1259835               ,1371776               ,1344791               ,1389288               
"    Soap, cleaning compounds, and toilet preparations",114567                 ,114455                 ,126328                 ,135119                 ,142201                 ,143417                 ,126059                 ,134566                 ,162217                 ,171973                 ,175431                 
"    Other",92739                  ,96513                  ,95644                  ,102913                 ,107913                 ,124868                 ,120370                 ,121121                 ,139101                 ,129635                 ,156661                 
"      Pesticides, fertilizers, and other agricultural chemicals",29425                  ,36529                  ,41134                  ,42423                  ,46732                  ,52012                  ,51373                  ,48911                  ,50693                  ,52477                  ,72381                  
"      Paints, coatings, and adhesives",37441                  ,33839                  ,31832                  ,36382                  ,44260                  ,49079                  ,43848                  ,48126                  ,62411                  ,43559                  ,45370                  
"      Other chemical products and preparations",25872                  ,26145                  ,22678                  ,24109                  ,16921                  ,23777                  ,25149                  ,24085                  ,25996                  ,33599                  ,38909                  
"  Plastics and rubber products",97086                  ,104425                 ,90843                  ,110619                 ,108884                 ,143859                 ,149359                 ,149894                 ,139691                 ,139661                 ,152611                 
"    Plastics products",61982                  ,66820                  ,51014                  ,66393                  ,71544                  ,96357                  ,94492                  ,94858                  ,84678                  ,82287                  ,95423                  
"    Rubber products",35104                  ,37605                  ,39829                  ,44226                  ,37340                  ,47501                  ,54866                  ,55035                  ,55013                  ,57374                  ,57187                  
"  Nonmetallic mineral products",62817                  ,57368                  ,61292                  ,63896                  ,63624                  ,68348                  ,72831                  ,69582                  ,71901                  ,73284                  ,59514                  
"    Clay products and refractories",5491                   ,5829                   ,6160                   ,5360                   ,5597                   ,4065                   ,4228                   ,4370                   ,4632                   ,4678                   ,1459                   
"    Glass and glass products",17365                  ,18106                  ,19007                  ,21748                  ,21071                  ,17519                  ,17745                  ,17014                  ,15804                  ,16491                  ,17655                  
"    Cement and concrete products",31024                  ,25411                  ,25265                  ,26220                  ,27510                  ,27137                  ,29177                  ,"(D)",31818                  ,32219                  ,20860                  
"    Lime and gypsum products","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"    Other nonmetallic mineral products","(D)","(D)","(D)","(D)","(D)","(D)","(D)",13536                  ,"(D)","(D)","(D)"
"  Primary and fabricated metals",201623                 ,219629                 ,240042                 ,234815                 ,226719                 ,254057                 ,253381                 ,230276                 ,251994                 ,267086                 ,261064                 
"    Primary metals",132115                 ,144207                 ,170745                 ,161704                 ,157375                 ,173881                 ,174105                 ,167797                 ,178172                 ,181368                 ,173893                 
"      Iron and steel mills","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",68984                  
"      Iron and steel mills and ferroalloys",58866                  ,69388                  ,75036                  ,76912                  ,74117                  ,82644                  ,77234                  ,72433                  ,75887                  ,78432                  ,"n.s."
"      Steel products from purchased steel",18058                  ,19132                  ,21097                  ,22493                  ,23197                  ,30642                  ,32837                  ,33674                  ,36615                  ,40090                  ,38764                  
"      Alumina and aluminum production and processing",45602                  ,45770                  ,61621                  ,48265                  ,45323                  ,45444                  ,52655                  ,49787                  ,52833                  ,49416                  ,54123                  
"      Nonferrous metal (except aluminum) production and processing",6539                   ,6729                   ,9400                   ,10910                  ,11521                  ,9552                   ,7792                   ,8011                   ,8401                   ,8843                   ,7308                   
"      Foundries",3050                   ,3188                   ,3590                   ,3124                   ,3216                   ,5599                   ,3587                   ,3893                   ,4435                   ,4587                   ,4715                   
"    Fabricated metal products",69508                  ,75422                  ,69297                  ,73111                  ,69344                  ,80176                  ,79275                  ,62478                  ,73822                  ,85718                  ,87171                  
"      Forging and stamping",6024                   ,7048                   ,7585                   ,7908                   ,7943                   ,9317                   ,2176                   ,1888                   ,2645                   ,2903                   ,3034                   
"      Cutlery and handtools",6570                   ,"(D)",18920                  ,19730                  ,20041                  ,20488                  ,21541                  ,5510                   ,5819                   ,5791                   ,5930                   
"      Architectural and structural metals",3622                   ,4210                   ,4068                   ,4775                   ,3051                   ,1946                   ,2574                   ,2920                   ,3042                   ,8635                   ,8205                   
"      Boilers, tanks, and shipping containers",13456                  ,13096                  ,14151                  ,14874                  ,11560                  ,12536                  ,13196                  ,12121                  ,12781                  ,15675                  ,15462                  
"      Hardware",7797                   ,2860                   ,3023                   ,3185                   ,3313                   ,1210                   ,1300                   ,1370                   ,8610                   ,8438                   ,8263                   
"      Spring and wire products",1554                   ,1731                   ,1762                   ,1946                   ,2032                   ,2196                   ,2302                   ,1885                   ,1998                   ,2018                   ,2120                   
"      Machine shop products, turned products, and screws, nuts, and bolts",1708                   ,705                     ,670                     ,705                     ,762                     ,2308                   ,1605                   ,1659                   ,1758                   ,4207                   ,3860                   
"      Coating, engraving, heat treating, and allied activities",61                      ,65                      ,69                      ,"(D)","(D)",1195                   ,1289                   ,1333                   ,1413                   ,1427                   ,2669                   
"      Other fabricated metal products",28716                  ,"(D)",19049                  ,"(D)","(D)",28979                  ,33291                  ,33792                  ,35755                  ,36624                  ,37629                  
"  Machinery",325683                 ,350298                 ,371306                 ,407543                 ,436864                 ,416476                 ,446372                 ,456175                 ,498092                 ,512421                 ,540442                 
"    Agriculture, construction, and mining machinery",148057                 ,157523                 ,176794                 ,197195                 ,206663                 ,216967                 ,212448                 ,213201                 ,213047                 ,216013                 ,218890                 
"    Industrial machinery",67604                  ,77335                  ,79931                  ,82683                  ,91410                  ,96501                  ,95144                  ,101837                 ,116233                 ,111953                 ,112488                 
"    Other",110022                 ,115439                 ,114581                 ,127665                 ,138792                 ,103007                 ,138781                 ,141137                 ,168812                 ,184455                 ,209063                 
"      Commercial and service industry machinery",2824                   ,3002                   ,5233                   ,4753                   ,4995                   ,8872                   ,8235                   ,8545                   ,9523                   ,9729                   ,11095                  
"      Ventilation, heating, air-conditioning, and commercial refrigeration equipment",19119                  ,20537                  ,24375                  ,24970                  ,28750                  ,14641                  ,14672                  ,11600                  ,10604                  ,30137                  ,30618                  
"      Metalworking machinery",3606                   ,4032                   ,4292                   ,4604                   ,4862                   ,5606                   ,4605                   ,4143                   ,4278                   ,4519                   ,3694                   
"      Engines, turbines, and power transmission equipment",53817                  ,53294                  ,49149                  ,57106                  ,61628                  ,34867                  ,71201                  ,71139                  ,80744                  ,75439                  ,75986                  
"      Other general purpose machinery",30657                  ,34573                  ,31532                  ,36232                  ,38558                  ,39020                  ,40067                  ,45710                  ,63663                  ,64630                  ,87671                  
"  Computers and electronic products",624064                 ,680427                 ,739131                 ,752206                 ,810592                 ,963502                 ,1000822               ,1150697               ,1220739               ,1269450               ,1252660               
"    Computers and peripheral equipment",155885                 ,169344                 ,170766                 ,187262                 ,185702                 ,286837                 ,301240                 ,390441                 ,392269                 ,386249                 ,383910                 
"    Communications equipment",116822                 ,129111                 ,129744                 ,113253                 ,135842                 ,139123                 ,163302                 ,175459                 ,179349                 ,157512                 ,156458                 
"    Audio and video equipment","(D)","(D)","(D)","(D)","(D)",13503                  ,"(D)","(D)","(D)","(D)","(D)"
"    Semiconductors and other electronic components",198487                 ,222893                 ,232967                 ,233931                 ,243888                 ,261969                 ,280491                 ,307589                 ,352364                 ,379555                 ,374325                 
"    Navigational, measuring, and other instruments",143281                 ,150128                 ,196200                 ,207826                 ,234971                 ,260598                 ,239232                 ,261355                 ,284489                 ,322634                 ,314924                 
"    Magnetic and optical media","(D)","(D)","(D)","(D)","(D)",1472                   ,"(D)","(D)","(D)","(D)","(D)"
"  Electrical equipment, appliances, and components",147960                 ,149851                 ,159496                 ,199815                 ,208390                 ,205817                 ,212701                 ,211018                 ,210042                 ,261143                 ,234685                 
"    Electric lighting equipment",14577                  ,14789                  ,14996                  ,14680                  ,3638                   ,5638                   ,5612                   ,5742                   ,6109                   ,6975                   ,6986                   
"    Household appliances",20330                  ,16828                  ,17724                  ,19110                  ,20204                  ,34606                  ,38561                  ,37273                  ,40513                  ,39957                  ,48176                  
"    Electrical equipment",60987                  ,58787                  ,65503                  ,75097                  ,86731                  ,88775                  ,99182                  ,96007                  ,94916                  ,143640                 ,108044                 
"    Other electrical equipment and components",52065                  ,59448                  ,61273                  ,90927                  ,97817                  ,76799                  ,69346                  ,71996                  ,68504                  ,70571                  ,71479                  
"  Transportation equipment",1315365               ,1293862               ,1264932               ,1369011               ,1347578               ,1416236               ,1392007               ,1345959               ,1451913               ,1453381               ,1472755               
"    Motor vehicles, bodies and trailers, and parts",525989                 ,498713                 ,538258                 ,572233                 ,554936                 ,604208                 ,624178                 ,666535                 ,744124                 ,742313                 ,800716                 
"      Motor vehicles",432198                 ,400250                 ,430847                 ,456151                 ,437473                 ,471219                 ,488197                 ,527514                 ,575669                 ,601597                 ,650095                 
"      Motor vehicle bodies and trailers","(D)","(D)","(D)","(D)","(D)",2390                   ,2669                   ,2721                   ,2688                   ,3549                   ,5231                   
"      Motor vehicle parts","(D)","(D)","(D)","(D)","(D)",130599                 ,133312                 ,136300                 ,165766                 ,137168                 ,145390                 
"    Other",789376                 ,795149                 ,726674                 ,796778                 ,792642                 ,812028                 ,767829                 ,679424                 ,707790                 ,711068                 ,672038                 
"      Aerospace products and parts",746793                 ,752330                 ,684506                 ,753148                 ,748244                 ,757401                 ,709007                 ,619264                 ,642402                 ,631665                 ,591015                 
"      Railroad rolling stock",2978                   ,3203                   ,"(D)","(D)","(D)",13834                  ,16563                  ,17192                  ,21144                  ,19949                  ,21878                  
"      Ship and boat building",8040                   ,9172                   ,9157                   ,24696                  ,24538                  ,"(D)","(D)","(D)","(D)","(D)","(D)"
"      Other transportation equipment",31564                  ,30445                  ,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"  Furniture and related products",17495                  ,18243                  ,19049                  ,18800                  ,19944                  ,23134                  ,21351                  ,21646                  ,22226                  ,25626                  ,21036                  
"  Miscellaneous manufacturing",201019                 ,217834                 ,233528                 ,237029                 ,228632                 ,287984                 ,373614                 ,405724                 ,405419                 ,419172                 ,414200                 
"    Medical equipment and supplies",166409                 ,176475                 ,185256                 ,181040                 ,169171                 ,208187                 ,277009                 ,286286                 ,295469                 ,317562                 ,319494                 
"    Other miscellaneous manufacturing",34610                  ,41359                  ,48272                  ,55990                  ,59462                  ,79798                  ,96605                  ,119439                 ,109950                 ,101610                 ,94705                  
"Wholesale trade",819766                 ,940829                 ,974156                 ,1039221               ,1187109               ,1394449               ,1504750               ,1583758               ,1965425               ,1924415               ,2079573               
"  Professional and commercial equipment and supplies",57616                  ,66944                  ,68040                  ,69488                  ,76513                  ,80786                  ,81140                  ,81183                  ,93126                  ,102997                 ,88706                  
"  Petroleum and petroleum products",43236                  ,49832                  ,64142                  ,65311                  ,71067                  ,72596                  ,117002                 ,124002                 ,321492                 ,325030                 ,309968                 
"  Drugs and druggists' sundries",109761                 ,107033                 ,108517                 ,92575                  ,128984                 ,163530                 ,182373                 ,156895                 ,169505                 ,169080                 ,185112                 
"  Other",609153                 ,717020                 ,733457                 ,811848                 ,910544                 ,1077536               ,1124235               ,1221677               ,1381302               ,1327308               ,1495787               
"    Motor vehicles and motor vehicle parts and supplies",88812                  ,92503                  ,103226                 ,120060                 ,133467                 ,180205                 ,198289                 ,210516                 ,216484                 ,133437                 ,205348                 
"    Furniture and home furnishings",636                     ,699                     ,616                     ,632                     ,573                     ,1961                   ,"(D)","(D)",2263                   ,8218                   ,"(D)"
"    Lumber and other construction materials",1454                   ,1676                   ,1767                   ,3363                   ,3478                   ,4977                   ,"(D)","(D)","(D)",15277                  ,16734                  
"    Metals and minerals (except petroleum)",26772                  ,21830                  ,24864                  ,26092                  ,29809                  ,33051                  ,33511                  ,38053                  ,37263                  ,38915                  ,37030                  
"    Electrical goods",63530                  ,64414                  ,70662                  ,82130                  ,88076                  ,102586                 ,99720                  ,101185                 ,112712                 ,113719                 ,111144                 
"    Hardware, and plumbing and heating equipment and supplies",1624                   ,1842                   ,1183                   ,1268                   ,1372                   ,"(D)",8168                   ,7097                   ,"(D)","(D)","(D)"
"    Machinery, equipment, and supplies",28836                  ,27846                  ,27680                  ,30115                  ,34597                  ,48756                  ,39076                  ,27296                  ,42881                  ,28808                  ,28195                  
"    Miscellaneous durable goods",24609                  ,25573                  ,25787                  ,25097                  ,26932                  ,34442                  ,30168                  ,31659                  ,33415                  ,37180                  ,41809                  
"    Paper and paper products",6477                   ,6692                   ,7076                   ,9321                   ,9680                   ,"(D)",11399                  ,12305                  ,15289                  ,16804                  ,"(D)"
"    Apparel, piece goods, and notions",38209                  ,37618                  ,34140                  ,34336                  ,43650                  ,53360                  ,51637                  ,55835                  ,57598                  ,68819                  ,65482                  
"    Grocery and related products","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"    Farm product raw materials",8422                   ,8923                   ,9138                   ,11089                  ,"(D)",30336                  ,33247                  ,36541                  ,53837                  ,57257                  ,53175                  
"    Chemical and allied products",12901                  ,"(D)","(D)","(D)","(D)",20603                  ,20841                  ,21537                  ,20768                  ,20802                  ,22057                  
"    Beer, wine, and distilled alcoholic beverages","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"    Miscellaneous nondurable goods","(D)","(D)","(D)","(D)","(D)",27377                  ,23926                  ,24330                  ,19049                  ,19408                  ,20251                  
"    Wholesale electronic markets and agents and brokers",815                     ,923                     ,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"Retail trade",516337                 ,554331                 ,567272                 ,590094                 ,659591                 ,856457                 ,877912                 ,966821                 ,1001772               ,1125339               ,1189793               
"  General merchandise stores",216270                 ,243903                 ,252649                 ,246239                 ,245630                 ,276633                 ,283154                 ,273929                 ,295301                 ,299257                 ,311247                 
"  Clothing and clothing accessories stores",46760                  ,57739                  ,59466                  ,66104                  ,71796                  ,87135                  ,87584                  ,86825                  ,88484                  ,93169                  ,104688                 
"  Other",253307                 ,252689                 ,255157                 ,277751                 ,342165                 ,492690                 ,507174                 ,606066                 ,617987                 ,732913                 ,773858                 
"    Motor vehicle and parts dealers",21796                  ,23923                  ,25559                  ,28660                  ,27329                  ,36411                  ,38705                  ,43799                  ,46076                  ,45430                  ,38616                  
"    Furniture and home furnishings stores","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",4812                   
"    Electronics and appliance stores",20248                  ,16963                  ,17077                  ,14655                  ,14701                  ,14622                  ,"(D)",19453                  ,18793                  ,17995                  ,20533                  
"    Building material and garden equipment and supplies dealers","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"    Food and beverage stores",28173                  ,25439                  ,27041                  ,26035                  ,27884                  ,41539                  ,43779                  ,46278                  ,45657                  ,46129                  ,42751                  
"    Health and personal care stores",9505                   ,10655                  ,10698                  ,11523                  ,12146                  ,"(D)","(D)","(D)","(D)","(D)","(D)"
"    Gasoline stations","(D)","(D)","(D)","(D)","(D)",80668                  ,"(D)","(D)","(D)","(D)","(D)"
"    Sporting goods, hobby, book, and music stores",15989                  ,15418                  ,15535                  ,18955                  ,17731                  ,23445                  ,25356                  ,19157                  ,19991                  ,15421                  ,16771                  
"    Miscellaneous store retailers",23598                  ,11404                  ,9647                   ,9219                   ,"(D)",34148                  ,42833                  ,44661                  ,38773                  ,34800                  ,32312                  
"    Nonstore retailers","(D)","(D)","(D)","(D)",110335                 ,111311                 ,100858                 ,99849                  ,112997                 ,135460                 ,137253                 
"Information",1517745               ,1504658               ,1633841               ,1784556               ,1955307               ,2245618               ,2455537               ,2713584               ,2857572               ,3042331               ,3296681               
"  Publishing industries",250322                 ,243794                 ,260723                 ,282390                 ,313069                 ,370336                 ,417544                 ,454877                 ,513807                 ,550662                 ,635511                 
"    Newspaper, periodical, book, and database publishers",77416                  ,86026                  ,87509                  ,90179                  ,103494                 ,105286                 ,108143                 ,119428                 ,118640                 ,121185                 ,123853                 
"    Software publishers",172906                 ,157769                 ,173214                 ,192211                 ,209575                 ,265051                 ,309400                 ,335449                 ,395167                 ,429477                 ,511658                 
"  Motion picture and sound recording industries",71098                  ,70889                  ,72606                  ,76494                  ,76658                  ,65558                  ,69827                  ,76784                  ,74585                  ,74279                  ,72750                  
"    Motion picture and video industries","(D)","(D)","(D)","(D)","(D)",39745                  ,41675                  ,44167                  ,47892                  ,52475                  ,50344                  
"    Sound recording industries","(D)","(D)","(D)","(D)","(D)",25813                  ,28153                  ,32618                  ,26693                  ,21804                  ,22406                  
