"sector","country","Continent","year","value_added","employment","PT","PTeu","PTger","TCC","TCP_1","PTrel_nominal","PTrel_ger_nominal","PT_tcp","PTrel_tcp","PTrel_ger_tcp"
"Mining","Argentina","South America",2011,5873,6800,0.863676470588235,1.69760925449871,0.365581395348837,4.11,9.24962419496044,0.508760463162808,2.36247380631642,0.383768055793193,0.22606383346238,1.04974722640632
"Mining","Argentina","South America",2012,5077,6500,0.781076923076923,1.36457858769932,0.362093023255814,4.552518519,12.0427547747658,0.572394239597311,2.15711674324391,0.295270245353011,0.216382001018232,0.81545411369168
"Mining","Argentina","South America",2013,4760,7200,0.661111111111111,1.23468085106383,0.368863636363636,5.49,14.8444506378925,0.535451011928696,1.79229136715273,0.244502143496992,0.198028618720638,0.662852391489071
"Mining","Argentina","South America",2014,4856,7600,0.638947368421053,0.924990476190476,0.342727272727273,8.1236,21.3297597151226,0.690761023889157,1.86430266648052,0.243347928501286,0.263081550313363,0.710033743637706
"Mining","Argentina","South America",2010,5364,8500,0.631058823529412,1.44299719887955,0.294285714285714,3.89,7.76258689096076,0.437325050956032,2.14437464306111,0.316237210354187,0.219153031343191,1.0745924623686
"Mining","Argentina","South America",2007,3446,5600,0.615357142857143,1.39380403458213,0.401666666666667,3.11916666666667,4.55311234908122,0.441494734976592,1.53200948429164,0.421558121332665,0.302451500263486,1.04952229377427
"Mining","Argentina","South America",2016,4365,7200,0.60625,0.415666666666667,0.177692307692308,14.7774461886724,36.5722685591162,1.45850040096231,3.41179653679654,0.244962292601604,0.589323879554781,1.37857567264972
"Mining","Argentina","South America",2015,4403,7600,0.579342105263158,0.523192771084337,0.239230769230769,9.43,25.3426007827942,1.10732054661697,2.42168725672703,0.215573614541594,0.41203477275653,0.901111572038819
"Mining","Argentina","South America",2008,3307,6400,0.51671875,2.01104519774011,0.622333333333333,3.18316666666667,5.56801849870742,0.256940396257954,0.830292581681843,0.295401658852875,0.146889616993606,0.474667903887855
"Mining","Argentina","South America",2017,3787,7500,0.504933333333333,0.525405405405405,0.238205128205128,16.5567166666667,47.2745247712401,0.961035665294925,2.11974165769645,0.176840236385443,0.336578639210976,0.742386352963645
"Mining","Argentina","South America",2009,4214,8500,0.495764705882353,1.2842209631728,0.261190476190476,3.75,7.06523643464366,0.386043149971258,1.89809641267628,0.263135942336315,0.204899273475656,1.00744845744077
"Mining","Argentina","South America",2006,3973,10100,0.393366336633663,1.29458333333333,0.600384615384615,3.07775,4.13760266056034,0.303855554528739,0.655190567102835,0.29260500388655,0.226022532773646,0.487362594557994
"Mining","Argentina","South America",2000,1506,4300,0.350232558139535,0.910540540540541,1.00666666666667,1,1.95421063162881,0.384642465157696,0.347913137224704,0.179219451819081,0.196827536874621,0.1780325680322
"Mining","Argentina","South America",2002,1640,6000,0.273333333333333,0.74284046692607,0.492777777777778,3.14,3.1215238766912,0.367956977982644,0.55467869222097,0.274951177876757,0.370134894527927,0.557961804034005
"Mining","Argentina","South America",2018,1426,5900,0.241694915254237,0.60718,0.23825,28.1124303451178,63.92614147514,0.39806139078072,1.01445924555818,0.106288778159656,0.175053160775479,0.446122888393098
"Mining","Argentina","South America",2003,1713,7100,0.241267605633803,0.71491961414791,0.796875,2.93,3.62678218036872,0.337475152253813,0.302767191383596,0.194914954731352,0.272638980486869,0.244599158878559
"Mining","Argentina","South America",2005,2338,10000,0.2338,0.966107954545455,0.316363636363636,2.92841666666667,3.95378151066347,0.242001940776899,0.739022988505747,0.173166831505511,0.179241699326433,0.547366421425467
"Mining","Argentina","South America",2004,1833,8100,0.226296296296296,0.846,0.325813953488372,2.93,3.52632076693515,0.267489711934156,0.6945567980543,0.188028313920071,0.22225569021285,0.57710331895525
"Mining","Argentina","South America",1999,785,3600,0.218055555555556,0.595857142857143,0.955,1,1.94204817638903,0.365952742481153,0.228330424665503,0.112281228759731,0.188436490366367,0.117571967287677
"Mining","Argentina","South America",2001,1772,8200,0.21609756097561,0.786788617886179,1.39285714285714,1,2.06059852973482,0.27465771118574,0.155146966854284,0.104871258451019,0.133290258739089,0.0752921855545777
"Mining","Argentina","South America",2019,1209,6300,0.191904761904762,0.518066914498141,0.179117647058824,48.2548583333333,99.8267630626399,0.370424662402274,1.07138947533036,0.092764072630459,0.179058090826589,0.517894658363811
"Food","Argentina","South America",2008,2076,11500,0.180521739130435,0.117626004382761,0.164180327868852,3.18316666666667,5.56801849870742,1.53470943842492,1.09953330873255,0.103202024695516,0.877374227213327,0.628589466442986
"Food","Argentina","South America",2012,2338,13300,0.175789473684211,0.111354246365723,0.209230769230769,4.552518519,12.0427547747658,1.57865083210982,0.840170278637771,0.066453635348412,0.596776840733643,0.317609286591675
"Food","Argentina","South America",2011,2154,12800,0.16828125,0.109953881629516,0.233473684210526,4.11,9.24962419496044,1.53047120761971,0.72077181018936,0.074774490608692,0.680053214134277,0.320269459324876
"Total Manufacturing","Argentina","South America",2008,7486,45000,0.166355555555556,0.163970619319383,0.162016784683976,3.18316666666667,5.56801849870742,1.01454489984896,1.0267797616157,0.0951033943910546,0.580002654047502,0.586997171784145
"Total Manufacturing","Argentina","South America",2011,8724,52500,0.166171428571429,0.175733520336606,0.16037587657784,4.11,9.24962419496044,0.945587547857337,1.03613730516868,0.0738370075403363,0.420164618559433,0.460399712948716
"Total Manufacturing","Argentina","South America",2015,8710,53100,0.164030131826742,0.162321200510856,0.126325301204819,9.43,25.3426007827942,1.01052808450472,1.29847410029753,0.0610357301676925,0.37601822790616,0.483163147727084
"Chemicals","Argentina","South America",2014,1872,12000,0.156,0.221678759894459,0.146646433990895,8.1236,21.3297597151226,0.703721006352938,1.06378311258278,0.0594137776011378,0.268017457466041,0.405149828633587
"Total Manufacturing","Argentina","South America",2012,8107,52700,0.153833017077799,0.169316977654918,0.115558132792114,4.552518519,12.0427547747658,0.908550454942109,1.33121757301618,0.0581534434752238,0.343459021538556,0.503239729390924
"Machinery","Argentina","South America",2013,365,2400,0.152083333333333,0.124238026124819,0.125347222222222,5.49,14.8444506378925,1.22412869937695,1.21329639889197,0.0562457662036146,0.452725851802459,0.448719686056538
"Finance and insurance","Argentina","South America",2018,1373,9100,0.150879120879121,0.184916086778551,0.0967222222222222,28.1124303451178,63.92614147514,0.815932910476353,1.55992198496506,0.0663512403278148,0.358818107627784,0.685997889661497
"Finance and insurance","Argentina","South America",2019,1356,9000,0.150666666666667,0.169179954441913,0.12219512195122,48.2548583333333,99.8267630626399,0.890570441183071,1.23300066533599,0.0728301552860477,0.43048927118049,0.596015242859872
