"sector","country","year","Rem","TCC","TCP_1","Rem_relativa_eu","Rem_tcp_arg","Rem_relativa_eu_tcp"
"Computers and electronic products","Argentina",2006,0.001875,3.07775,4.13760266056034,-0.581503424285248,0.00139471614928304,-0.688701902629857
"Computers and electronic products","Argentina",2007,0.00166666666666667,3.11916666666667,4.55311234908122,-0.661948376353038,0.0011417708838571,-0.76841349932757
"Computers and electronic products","Argentina",2008,0.00154761904761905,3.18316666666667,5.56801849870742,-0.711581830847885,0.000884754489630914,-0.835114933199456
"Computers and electronic products","Argentina",2009,0.00321428571428571,3.75,7.06523643464366,-0.43677138126401,0.00170603935764527,-0.701056385048424
"Computers and electronic products","Argentina",2010,0.00321428571428571,3.89,7.76258689096076,-0.439301042305335,0.00161074801534671,-0.719021638524642
"Computers and electronic products","Argentina",2011,0.00321428571428571,4.11,9.24962419496044,-0.486496554293166,0.00142824335424481,-0.771828658400525
"Computers and electronic products","Argentina",2012,0.00321428571428571,4.552518519,12.0427547747658,-0.494690301219415,0.00121509534266236,-0.808977945282983
"Computers and electronic products","Argentina",2013,0.00321428571428571,5.49,14.8444506378925,-0.493023601009352,0.00118875591976328,-0.812502294739429
"Computers and electronic products","Argentina",2014,0.005,8.1236,21.3297597151226,-0.191179529852299,0.00190428774362621,-0.691954618380749
"Computers and electronic products","Argentina",2015,0.00520833333333333,9.43,25.3426007827942,-0.162348575029761,0.00193802458375458,-0.688309301591798
"Computers and electronic products","Argentina",2016,0.00520833333333333,14.7774461886724,36.5722685591162,-0.0612293709638851,0.00210448704984196,-0.620678918736929
"Computers and electronic products","Argentina",2017,0.00520833333333333,16.5567166666667,47.2745247712401,-0.0242929255437613,0.00182408812617015,-0.658283067685919
"Computers and electronic products","Argentina",2018,0.00520833333333333,28.1124303451178,63.92614147514,-0.0634207941630427,0.00229043869485583,-0.588125967261508
"Computers and electronic products","Argentina",2019,0.004375,48.2548583333333,99.8267630626399,-0.241380469117548,0.00211481369055172,-0.633293949753113
"Electrical equipment","Argentina",1999,0.00208333333333333,1,1.94204817638903,0.0181072770755013,0.00107275059324584,-0.475755910974088
"Electrical equipment","Argentina",2000,0.00208333333333333,1,1.95421063162881,-0.197341513292436,0.00106607409642271,-0.589267157942663
"Electrical equipment","Argentina",2001,0.00208333333333333,1,2.06059852973482,-0.226624668435014,0.00101103310677478,-0.624684129195942
"Electrical equipment","Argentina",2002,0.00208333333333333,3.14,3.1215238766912,-0.249046408137319,0.00209566446552406,-0.244601556292345
"Electrical equipment","Argentina",2003,0.00208333333333333,2.93,3.62678218036872,-0.344072865687875,0.00168308058303244,-0.470090452650471
"Electrical equipment","Argentina",2004,0.00166666666666667,2.93,3.52632076693515,-0.511366144338997,0.00138482391594161,-0.593996890325131
"Electrical equipment","Argentina",2005,0.00166666666666667,2.92841666666667,3.95378151066347,-0.545474091593205,0.00123443706519469,-0.663349822942819
"Electrical equipment","Argentina",2006,0.00166666666666667,3.07775,4.13760266056034,-0.558172588832486,0.0012397476882516,-0.671347293039333
"Electrical equipment","Argentina",2007,0.00166666666666667,3.11916666666667,4.55311234908122,-0.583763491318629,0.0011417708838571,-0.714851964153568
"Electrical equipment","Argentina",2008,0.00166666666666667,3.18316666666667,5.56801849870742,-0.58798765085602,0.000952812527294831,-0.764457683401267
"Electrical equipment","Argentina",2009,NA,3.75,7.06523643464366,NA,NA,NA
"Electrical equipment","Argentina",2010,NA,3.89,7.76258689096076,NA,NA,NA
"Electrical equipment","Argentina",2011,NA,4.11,9.24962419496044,NA,NA,NA
"Electrical equipment","Argentina",2012,NA,4.552518519,12.0427547747658,NA,NA,NA
"Electrical equipment","Argentina",2013,0.00375,5.49,14.8444506378925,-0.102230483271375,0.0013868819063905,-0.667973253637367
"Electrical equipment","Argentina",2014,0.00444444444444444,8.1236,21.3297597151226,0.105624142661179,0.00169270021655663,-0.578914699214616
"Electrical equipment","Argentina",2015,0.00444444444444444,9.43,25.3426007827942,0.112191608139742,0.00165378097813724,-0.58615270174329
"Electrical equipment","Argentina",2016,0.00444444444444444,14.7774461886724,36.5722685591162,0.0894695170229589,0.00179582894919847,-0.559787297963701
"Electrical equipment","Argentina",2017,0.00375,16.5567166666667,47.2745247712401,-0.126022913256955,0.00131334345084251,-0.693911444517229
"Electrical equipment","Argentina",2018,0.00444444444444444,28.1124303451178,63.92614147514,0.0771001150747976,0.00195450768627697,-0.526329897894211
"Electrical equipment","Argentina",2019,NA,48.2548583333333,99.8267630626399,NA,NA,NA
"Finance and insurance","Argentina",1999,0.00266908212560387,1,1.94204817638903,-0.647260762563755,0.00137436452815844,-0.818367411414008
"Finance and insurance","Argentina",2000,0.00211165048543689,1,1.95421063162881,-0.756574598639939,0.0010805644239469,-0.875435432895394
"Finance and insurance","Argentina",2001,0.0024914089347079,1,2.06059852973482,-0.720549537352244,0.001209070519442,-0.864383838668603
"Finance and insurance","Argentina",2002,0.00184027777777778,3.14,3.1215238766912,-0.780986061453961,0.00185117027787959,-0.779689730336606
"Finance and insurance","Argentina",2003,0.00170289855072464,2.93,3.62678218036872,-0.826520827372849,0.00137573543308739,-0.85984987503554
"Finance and insurance","Argentina",2004,0.00208333333333333,2.93,3.52632076693515,-0.810544241822182,0.001731029894927,-0.842582281037505
"Finance and insurance","Argentina",2005,0.00196969696969697,2.92841666666667,3.95378151066347,-0.830175356008003,0.00145888016795736,-0.874217298923671
"Finance and insurance","Argentina",2006,0.00170454545454545,3.07775,4.13760266056034,-0.855213857953897,0.00126792377207549,-0.892301029064486
"Finance and insurance","Argentina",2007,0.00198275862068965,3.11916666666667,4.55311234908122,-0.829183011790928,0.00135831363769206,-0.882979681836833
"Finance and insurance","Argentina",2008,0.00280141843971631,3.18316666666667,5.56801849870742,-0.727437435886083,0.00160153595013386,-0.844179384664396
"Finance and insurance","Argentina",2009,0.00302287581699346,3.75,7.06523643464366,-0.702294927380258,0.00160444514753131,-0.841987733510246
"Finance and insurance","Argentina",2010,0.00350187265917603,3.89,7.76258689096076,-0.665050258352488,0.00175486404668235,-0.832149447946784
"Finance and insurance","Argentina",2011,0.00384166666666667,4.11,9.24962419496044,-0.652933099889421,0.0017070152978326,-0.845783468669823
"Finance and insurance","Argentina",2012,0.00429166666666667,4.552518519,12.0427547747658,-0.620828287720998,0.00162237730011031,-0.856661845705924
"Finance and insurance","Argentina",2013,0.00436468646864686,5.49,14.8444506378925,-0.602214412220857,0.00161421458411567,-0.852884897516319
"Finance and insurance","Argentina",2014,0.00412541254125413,8.1236,21.3297597151226,-0.655007297292202,0.00157119450794242,-0.868606924918612
"Finance and insurance","Argentina",2015,0.00468068535825545,9.43,25.3426007827942,-0.619038916704477,0.00174168639227889,-0.858244106582944
