,,,,,,,,,,,,,,,,,,,,,,,,
,,, ,,,,,,,,,,,,,,,,,,,,,
,,Actividad principal de la empresa,Resumen de los principales agregados macroeconómicos por actividad principal de la empresa. Años 1993-2012,,,,,,,,,,,,,,,,,,,,,
,,,Masa salarial (millones de pesos),,,,,,,,,,,,,,,,,,,,,
,,,Total,Minas y canteras,Industria manufacturera,"    Alimentos, bebidas y tabaco","    Combustibles, químicos y plásticos","    Maquinarias, equipos y vehículos",    Resto industria/1),Servicios,"Electricidad, gas y agua",Comunicaciones,Resto actividades (2), ,IPC 2015,IPC 2015 =1,,,,,,,,
,,2002,118.677,7.239,55.491,19.438,18.209,5.628,12216,55.947,10.078,12.484,33.385,,,,,,,,,,,
,,2003,121.960,9.034,57.601,20.598,18.358,5.282,13364,55.324,9.396,12.966,32.962,,,,,,,,,,,
,,2004,137.826,10.112,65.583,23.595,19.130,7.184,15675,62.130,10.222,14.850,37.057,,,,,,,,,,,
,,2005,156.478,13.412,74.317,25.387,21.441,9.693,17795,68.749,10.894,15.735,42.120,,,,,,,,,,,
,,2006,181.827,15.507,85.428,29.556,23.430,12.704,19737,80.892,12.485,17.662,50.746,,,,,,,,,,,
,,2007,209.721,19.475,95.855,32.585,25.557,15.782,21931,94.391,13.688,19.417,61.286,,,,,,,,,,,
,,2008,232.885,22.077,103.783,36.175,27.258,17.321,23028,107.026,15.225,20.282,71.520,,,,,,,,,,,
,,2009,242.117,22.429,101.814,38.926,26.584,16.013,20291,117.874,17.264,22.528,78.082,,,,,,,,,,,
,,2010,253.431,23.176,106.660,39.200,26.861,19.658,20942,123.595,19.578,19.185,84.832,,,,,,,,,,,
,,2011,285.254,26.093,118.458,43.205,28.677,24.851,21725,140.702,21.553,20.019,99.130,,,,,,,,,,,
,,2012,303.320,28.070,125.436,45.218,32.179,26.082,21957,149.813,23.092,23.295,103.426,,,,,,,,,,,
,,2012,301165,28254,125911,45724,32422,25755,22013,147000,22804,23390,100806,,,,,,,,,,,
,,2013,310425,29921,128834,46077,33630,26851,22278,151670,23864,24389,103417,,,,,,,,,,,
,,2014,287898,31424,117449,43622,30784,22179,20866,139025,22632,22647,93747,,,,,,,,,,,
,,2015,308647,35448,123697,45944,32123,24368,21262,149.502,24916,25166,99420,,,,,,,,,,,
,,"(1)Incluye Textiles y cueros, y Minerales (2) Incluye construcción, comercio, transporte, correo y almacenamiento
no
metálicos,
metales
y productos
de metal",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,, ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,, ,,,,,,,,,,,,,,,,,,,
