,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2014,1.730.998,341.019,762.386,232.736,10.345,265.870,90.670,135.882,26.884,627.593,253.932,132.866,240.795,,,,,2013,555.923,131.118,236.235,57.049,2.750,90.888,48.043,25.471,12.035,188.570,62.294,52.149,74.127,,,,,
,,2015,2.497.204,575.146,1.097.886,335.499,12.375,374.441,108.833,228.513,38.224,824.172,306.047,185.977,332.148,,,,,2014,743.612,191.387,310.010,77.117,4.070,117.897,58.832,36.948,15.144,242.215,83.207,69.903,89.105,,,,,
,,2016,  3.169.835 ,683.416,1.369.182,409.273,15.347,527.586,129.440,241.602,45.935,937.882,308.131,222.884,406.867,,,,,2015,1.007.740,268.073,433.847,111.798,5.254,166.253,72.240,57.242,21.060,305.820,101.132,87.909,116.779,,,,,
,,2017,4.068.990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2018,8.701.811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019,13.634.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,18.497.179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2021,25.937.061,,,,,,,,,,,,,,,,,,,,2016,1.271.289,328.737,569.250,142.341,5.090,247.125,82.426,68.711,23.558,373.302,135.407,104.850,133.045,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"(1) Incluye Construcción, Comercio, Transporte, correo y Otros servicios.",,,,, ,, , ,,,,,,,,"(1) Incluye Construcción, Comercio, Transporte y Otros servicios.",,,,,,,,,,,,,,,,,,,,
,,Fuente: Publicaciones (2007) basado en INDEC. Encuesta Nacional a Grandes Empresas (ENGE),,,,,, ,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,, 
,,Resumen de los principales agregados macroeconómicos por actividad principal de la empresa. Años 1993 - 2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
,,Activos (millones de pesos),,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,
,,M$2015,Total,Minas y canteras,Industria manufacturera,"    Alimentos, bebidas y tabaco","Textiles
y cueros","    Combustibles, químicos y plásticos","Minerales
no
metálicos,
metales
y productos
de metal","    Maquinarias, equipos y vehículos",    Resto industria,Sub-total,"Electricidad, gas y agua",Comunicaciones,Resto de actividades (1),,,,,,,,Resumen de los principales agregados macroeconómicos por actividad principal de la empresa. Años 1993 - 2004,,,,,,,,,,,,-, ,,
,,1995,"1.582.496,32","152.326,30","686.186,95","198.502,92",,"208.236,90",,"103.881,83","175.565,30","743.981,82","278.814,47","174.673,60","290.495,00",,,,,,,,Patrimonio neto (millones de pesos),,,,,,,,,,,,,,,
,,1996,"1.633.728,89","178.175,98","722.133,03","206.424,80",,"221.679,51",,"116.285,47","177.743,26","733.421,12","284.793,58","185.540,96","263.086,58",,,,,,,,M$2015,Total,Minas y canteras,Industria manufacturera,"    Alimentos, bebidas y tabaco","Textiles
y cueros","    Combustibles, químicos y plásticos","Minerales
no
metálicos,
metales
y productos
de metal","    Maquinarias, equipos y vehículos",    Resto industria,Sub-total,"Electricidad, gas y agua",Comunicaciones,Resto de actividades (1),,
,,1997,"1.812.724,32","226.918,63","788.111,65","218.720,35",,"236.911,69",,"135.872,87","196.605,50","797.692,81","299.413,11","235.697,03","262.582,66",,,,,,,,1995,"881.911,40","98.765,76","364.781,34","94.202,64",,"123.930,13",,"42.008,29","104.639,02","418.364,30","153.159,47","94.591,21","170.613,63",,
,,1998,"1.931.008,92","238.433,79","826.039,07","231.854,85",,"257.751,46",,"133.653,67","202.779,09","866.536,06","304.440,10","260.543,34","301.552,62",,,,,,,,1996,"857.244,42","107.057,79","367.426,17","95.651,57",,"124.115,51",,"45.632,33","102.028,01","382.761,71","156.298,62","97.986,78","128.476,31",,
,,1999,"2.052.134,98","235.630,98","840.015,03","244.038,54",,"280.246,82",,"122.147,61","193.582,06","976.490,21","317.129,69","285.960,98","373.398,30",,,,,,,,1997,"905.428,29","122.275,44","387.533,56","100.831,01",,"128.358,60",,"49.038,82","109.305,13","395.619,29","167.178,01","115.413,03","113.029,49",,
,,2000,"994.891,01","126.236,73","419.407,54","118.975,03",,"144.397,88",,"52.874,87","103.159,76","449.246,74","173.390,87","124.435,39","151.420,49",,,,,,,,1998,"927.339,76","119.472,43","403.814,17","107.606,32",,"133.540,92",,"50.976,96","111.688,74","404.053,16","163.731,96","118.996,90","121.324,29",,
,,2001,"2.169.561,29","215.601,52","921.727,55","259.890,18",,"358.491,08",,"110.599,56","192.746,73","1.032.232,22","346.617,67","296.237,94","389.377,87",,,,,,,,1999,"985.552,51","125.051,82","415.470,78","117.858,27",,"143.042,49",,"52.378,56","102.191,46","445.029,91","171.763,34","123.267,38","149.999,19",,
,,2002,"2.675.142,80","310.485,83","1.176.735,33","329.423,57",,"475.088,04",,"111.214,86","261.009,87","1.187.920,65","497.500,90","302.143,33","388.277,42",,,,,,,,2000,"1.036.169,19","129.326,18","437.512,35","115.307,25",,"158.734,77",,"56.460,03","107.010,30","469.331,91","185.381,88","131.926,17","152.023,86",,
,,2003,"2.965.403,84","418.645,32","1.219.585,50","346.585,06",,"500.488,36",,"102.602,21","269.908,98","1.327.173,02","554.706,58","347.948,80","424.517,65",,,,,,,,2001,"1.029.918,02","123.907,80","438.384,78","112.483,57",,"171.697,50",,"49.922,97","104.280,74","467.625,44","184.937,41","127.726,42","154.961,61",,
,,2004,-,-,-,-,,-,,-,-,-,-,-,-,,,,,,,,2002,"866.805,40","158.145,55","436.949,19","112.261,31",,"162.199,69",,"52.082,55","110.405,64","271.710,66","155.612,34","-12.613,77","128.711,08",,
,,2004,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,2003,"1.362.474,32","256.610,96","607.732,07","151.326,47",,"236.907,17",,"55.642,21","163.856,22","498.132,17","246.860,97","55.722,85","195.548,35",,
,,2005,,,,,-,,-,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,
,,2006,,,,,-,,-, ,,,,,,,,,,,,,2005,,,,,,,,,,,,,,,
,,2007,,,,,-,,-,,,,,,,,,,,,,,2006,,,,,,,,,,,,,,,
,,2008,,,,,-,,-,,,,,,,,,,,,,,2007,,,,,,,,,,,,,,,
,,2009,,,,,-,,-,,,,,,,,,,,,,,2008,,,,,,,,,,,,,,,
,,2010,,,,,-,,-,,,,,,,,,,,,,,2009,,,,,,,,,,,,,,,
,,2011,,,,,-,,-,,,,,,,,,,,,,,2010,,,,,,,,,,,,,,,
,,2012,,,,,-,,-,,,,,,,,,,,,,,2011,,,,,,,,,,,,,,,
,enge 2015,2012,,,,,,,,,,,,,,,,,,,,,2012,,,,,,,,,,,,,,,
,,2013,,,,,,,,,,,,,,,,,,,,,2013,,,,,,,,,,,,,,,
,,2014,,,,,,,,,,,,,,,,,,,,,2014,,,,,,,,,,,,,,,
,,2015,,,,,,,,,,,,,,,,,,,,,2015,,,,,,,,,,,,,,,
,,2016,,,,,,,,,,,,,,,,,,,,,2016,,,,,,,,,,,,,,,
