sector,year,capital_expenditures,compensation_employees,employment,exports_by_parent_to_affiliates,exports_by_parent_to_other,imports_by_parent_to_affiliates,imports_by_parent_to_other,liabilities,net_income,owners_equity,rd_expenditures,total_assets,total_sales,value_added,CI,TGasset,TGequity,PT,Rem,TP
All Industries Total,2009,431796.0,1590589.0,22932700.0,207479.0,327930.0,233578.0,445943.0,21023155.0,622375.0,6607520.0,207297.0,27630675.0,9208797.0,2595776.0,6613021.0,0.022524784501283448,0.09419192072063345,0.11319103289189672,0.005779916160475362,0.39128586957410116
All Industries Total,2010,441053.0,1618713.0,22791100.0,232776.0,348542.0,270667.0,500122.0,22287579.0,909686.0,7258873.0,205674.0,29546451.0,9774337.0,2948661.0,6825676.0,0.03078833393560533,0.12532055595958216,0.12937773955623028,0.0059186590379578,0.5619810306088849
All Industries Total,2011,527828.0,1692811.0,22994200.0,264731.0,404500.0,320218.0,566517.0,23048961.0,1061776.0,7548733.0,220279.0,30597694.0,10593201.0,3160862.0,7432339.0,0.034701177154069195,0.14065618693892074,0.1374634473041028,0.006134920255252773,0.6272265480316468
All Industries Total,2012,584429.0,1772517.0,23091900.0,276219.0,470151.0,338012.0,596438.0,24386238.0,994670.0,8032984.0,232955.0,32419222.0,10935873.0,3249145.0,7686728.0,0.030681488901861988,0.12382322683575618,0.1407049658105223,0.006396604437053685,0.5611624599369146
All Industries Total,2013,593986.0,1812968.0,23348800.0,288746.0,453397.0,336882.0,576591.0,25025608.0,1152824.0,8595124.0,242327.0,33620732.0,11201010.0,3487281.0,7713729.0,0.034289080915906295,0.13412534827886136,0.14935589837593366,0.006470596633088924,0.6358766398524408
All Industries Total,2014,722346.0,2116998.0,27587200.0,321985.0,512333.0,385052.0,577347.0,28898346.0,1251664.0,10113228.0,275477.0,39011574.0,13000381.0,3889485.0,9110896.0,0.032084427047214245,0.12376503328116403,0.14098875565479643,0.006394867909755249,0.5912447720781975
All Industries Total,2015,712568.0,2191540.0,28045600.0,315127.0,466984.0,350940.0,543444.0,29488655.0,1047661.0,10213204.0,277787.0,39701859.0,12522977.0,3949236.0,8573741.0,0.02638821018431404,0.10257907312925503,0.14081481587129532,0.006511835486968841,0.47804785675826134
All Industries Total,2016,641469.0,2199969.0,28022600.0,320789.0,461143.0,355691.0,538616.0,30161159.0,1135731.0,10303664.0,289392.0,40464823.0,12616391.0,3916185.0,8700206.0,0.028067118939331576,0.11022593516248201,0.1397509510181068,0.006542246258377168,0.5162486380489907
All Industries Total,2017,666167.0,2238621.0,27981700.0,333865.0,473009.0,364400.0,549548.0,31184869.0,1283306.0,11081478.0,298985.0,42266346.0,13438681.0,3901789.0,9536892.0,0.030362359689195748,0.1158063933348963,0.13944074162756373,0.006666919808303283,0.5732573758577267
All Industries Total,2018,723104.0,2344056.0,28532300.0,345333.0,499836.0,387913.0,567944.0,32407782.0,1455129.0,11375433.0,322946.0,43783215.0,14338829.0,4212291.0,10126538.0,0.0332348595232214,0.12791855923198703,0.14763236752732867,0.0068462058789512245,0.6207739917476375
All Industries Total,2019,738873.0,2421669.0,29297300.0,341761.0,485341.0,392508.0,547160.0,35008129.0,1551398.0,11962316.0,350205.0,46970445.0,14783293.0,4234524.0,10548769.0,0.03302923785371844,0.12969043787172985,0.14453632245974884,0.006888203008468357,0.6406317296046652
Finance and insurance,2009,41289.0,273073.0,2489700.0,,,,,14205484.0,72119.0,2046338.0,186.0,16251822.0,1509372.0,260120.0,1249252.0,0.004437594750914697,0.03524295595351305,0.10447845121902237,0.009140090506218956,0.2641015406136821
Finance and insurance,2010,37228.0,285274.0,2479200.0,,,,32.0,15407146.0,170062.0,2238846.0,384.0,17645992.0,1591294.0,356980.0,1234314.0,0.009637429281391491,0.07595966850779375,0.14398999677315263,0.009588913090244166,0.5961356450289896
Finance and insurance,2011,46431.0,297039.0,2501200.0,,,,,15696460.0,189841.0,2381208.0,469.0,18077668.0,1545821.0,356920.0,1188901.0,0.010501409805733792,0.07972466076042076,0.14269950423796576,0.009896549656165042,0.639111362481021
Finance and insurance,2012,45120.0,310242.0,2587400.0,,,,,16456658.0,186852.0,2499669.0,522.0,18956326.0,1601301.0,397255.0,1204046.0,0.00985697333966508,0.07475069699228178,0.15353443611347298,0.009992076988482647,0.6022782215173961
Finance and insurance,2013,49302.0,321377.0,2616500.0,,,,39.0,16862311.0,230640.0,2550279.0,596.0,19412591.0,1657054.0,499910.0,1157144.0,0.011880948813066736,0.09043716393382842,0.1910605771068221,0.010235588254028918,0.7176618115173146
Finance and insurance,2014,56343.0,356401.0,2849100.0,41.0,180.0,,252.0,19279638.0,308386.0,3347982.0,523.0,22627620.0,1899838.0,484759.0,1415079.0,0.013628742218580655,0.09211100896002428,0.17014460706889895,0.010424373778854142,0.865278155785197
Finance and insurance,2015,60505.0,365262.0,2845300.0,132.0,140.0,84.0,212.0,19242692.0,293725.0,3425079.0,610.0,22667770.0,1963780.0,552740.0,1411040.0,0.01295782514115857,0.0857571460395512,0.19426422521351,0.01069781745334411,0.8041488027771846
Finance and insurance,2016,63773.0,367713.0,2859900.0,453.0,196.0,104.0,270.0,19357353.0,292854.0,3452197.0,1514.0,22809550.0,2066192.0,504820.0,1561372.0,0.012839095905004701,0.08483119590220373,0.17651666142172803,0.0107146228889122,0.7964200341026834
Finance and insurance,2017,62155.0,379914.0,2819200.0,274.0,219.0,69.0,247.0,19841644.0,289220.0,3513365.0,1534.0,23355009.0,2118203.0,503504.0,1614699.0,0.012383638987251085,0.08231994113905046,0.17859818388195234,0.011229958853575481,0.7612775522881494
Finance and insurance,2018,67359.0,401430.0,2904200.0,194.0,234.0,68.0,334.0,20770323.0,381640.0,3566192.0,1737.0,24336515.0,2287171.0,558052.0,1729119.0,0.015681785169322723,0.10701611130303697,0.1921534329591626,0.011518662626540872,0.9507012430560745
Finance and insurance,2019,71241.0,423595.0,2991300.0,70.0,758.0,67.0,363.0,22641640.0,396774.0,3928866.0,2742.0,26570505.0,2478716.0,564079.0,1914637.0,0.014932873876503288,0.10098944580955421,0.188573195600575,0.011800749952640436,0.936682444315915
Information,2009,57556.0,138367.0,1711500.0,1068.0,4686.0,,,934280.0,51380.0,583465.0,21035.0,1517745.0,708959.0,287628.0,421331.0,0.033852854069688916,0.088060123572108,0.16805609114811568,0.006737121433440452,0.37133131454754387
Information,2010,61537.0,140022.0,1626400.0,444.0,3575.0,194.0,,880556.0,97322.0,624101.0,22577.0,1504658.0,741453.0,333154.0,408299.0,0.06468047888623195,0.15593950338166418,0.2048413674372848,0.007174434333497295,0.6950479210409792
Information,2011,65498.0,161504.0,1718800.0,838.0,4171.0,,10204.0,960695.0,91820.0,673146.0,24996.0,1633841.0,812543.0,351739.0,460804.0,0.05619885900770026,0.13640428673720115,0.2046421922271352,0.007830269180048095,0.5685308103824054
Information,2012,67072.0,171784.0,1741800.0,1108.0,5213.0,,,1040821.0,104530.0,743735.0,29013.0,1784556.0,912808.0,377949.0,534859.0,0.05857479395435055,0.14054737238398085,0.21698759903548054,0.008218700960692004,0.6084967168071531
Information,2013,75105.0,170242.0,1722300.0,1486.0,4928.0,819.0,,1133858.0,136454.0,821449.0,31593.0,1955307.0,946540.0,417999.0,528541.0,0.0697864836570421,0.16611378186594664,0.24269813621320327,0.00823714412897482,0.8015295872933823
Information,2014,87981.0,200378.0,1998900.0,2212.0,3929.0,770.0,7123.0,1364458.0,124604.0,881160.0,38638.0,2245618.0,1041298.0,447912.0,593386.0,0.05548762077966956,0.14140905170457124,0.2240792435839712,0.008353677856154219,0.621844713491501
Information,2015,88366.0,210037.0,2041300.0,1867.0,3388.0,325.0,,1496547.0,127411.0,958990.0,44192.0,2455537.0,1061424.0,479164.0,582260.0,0.05188722466816831,0.13285957100699694,0.23473472786949492,0.008574478681885727,0.6066121683322462
Information,2016,92932.0,218577.0,2164000.0,2717.0,3298.0,2038.0,7371.0,1648708.0,137959.0,1064876.0,48403.0,2713584.0,1104961.0,476727.0,628234.0,0.05084014351499714,0.12955405136372686,0.22029898336414047,0.008417167282809612,0.6311688787017847
