sector,year,capital_expenditures,compensation_employees,employment,exports_by_parent_to_affiliates,exports_by_parent_to_other,imports_by_parent_to_affiliates,imports_by_parent_to_other,liabilities,net_income,owners_equity,rd_expenditures,total_assets,total_sales,value_added,CI,TGasset,TGequity,PT,Rem,TP
"  Architectural, engineering, and related services",2014,769.0,19448.0,194700.0,70.0,,83.0,,28619.0,1684.0,28276.0,,56894.0,47590.0,20728.0,26862.0,0.02959890322353851,0.05955580704484369,0.10646122239342579,0.00832391713747646,0.08658988070752777
"  Architectural, engineering, and related services",2015,995.0,21704.0,225000.0,71.0,,104.0,,30931.0,792.0,33825.0,,64756.0,56463.0,22738.0,33725.0,0.012230526900982149,0.023414634146341463,0.10105777777777777,0.00803851851851852,0.036490969406561005
"  Architectural, engineering, and related services",2016,1103.0,21483.0,218800.0,,,65.0,,32220.0,1392.0,33396.0,,65616.0,57777.0,22932.0,34845.0,0.02121433796634967,0.04168163851958318,0.10480804387568556,0.008182129798903108,0.06479541963412931
"  Architectural, engineering, and related services",2017,1017.0,20147.0,194500.0,,,,,27759.0,1352.0,29684.0,,57443.0,53120.0,21287.0,31833.0,0.023536375189318108,0.04554642231505188,0.10944473007712083,0.008631962296486719,0.06710676527522708
"  Architectural, engineering, and related services",2018,1099.0,25677.0,219900.0,,,,,32491.0,1890.0,38138.0,2049.0,70629.0,68468.0,26965.0,41503.0,0.026759546361975958,0.04955687241071897,0.12262391996361982,0.009730559345156889,0.07360672975814932
"  Architectural, engineering, and related services",2019,1327.0,25368.0,244700.0,,,75.0,,34109.0,2504.0,37769.0,2113.0,71878.0,70591.0,27547.0,43044.0,0.034836806811541776,0.06629775742010643,0.11257458111973846,0.008639149979566817,0.09870703248186692
  Beverages and tobacco products,2009,3179.0,14962.0,186100.0,604.0,2948.0,197.0,3225.0,147228.0,16275.0,83169.0,338.0,230397.0,97559.0,52779.0,44780.0,0.07063894061120587,0.19568589258016808,0.28360558839333694,0.0066998029733118395,1.0877556476406898
  Beverages and tobacco products,2010,3030.0,10258.0,136200.0,895.0,,409.0,,154949.0,21501.0,78440.0,313.0,233389.0,85543.0,49311.0,36232.0,0.0921251644250586,0.27410759816420194,0.36204845814977976,0.006276309348996573,2.0960226164944435
  Beverages and tobacco products,2011,3540.0,10376.0,144700.0,1072.0,,610.0,3993.0,176992.0,19542.0,79957.0,289.0,256949.0,95810.0,52562.0,43248.0,0.07605400293443446,0.24440636842302738,0.3632480995162405,0.005975581663211241,1.883384734001542
  Beverages and tobacco products,2012,4532.0,10268.0,144300.0,1319.0,,1343.0,3803.0,195124.0,20345.0,90009.0,329.0,285133.0,105638.0,56489.0,49149.0,0.07135266700101356,0.22603295226032952,0.39146916146916144,0.005929775929775929,1.9813985196727697
  Beverages and tobacco products,2013,3067.0,10408.0,142400.0,1392.0,,1024.0,3632.0,228555.0,21585.0,93562.0,406.0,322117.0,107605.0,60214.0,47391.0,0.06700981320451886,0.23070263568542784,0.42285112359550564,0.006090823970037453,2.0738854727132976
  Beverages and tobacco products,2014,4060.0,11366.0,150400.0,1789.0,3803.0,1654.0,3228.0,165798.0,20853.0,146541.0,463.0,312339.0,114481.0,55898.0,58583.0,0.0667639968111571,0.14230147194300571,0.3716622340425532,0.006297650709219858,1.8346823860636987
  Beverages and tobacco products,2015,4725.0,11751.0,152100.0,1771.0,3526.0,1855.0,2708.0,202608.0,21543.0,160230.0,455.0,362838.0,113389.0,60240.0,53149.0,0.05937360474922693,0.13445047743868188,0.3960552268244576,0.006438198553583169,1.833290783763084
  Beverages and tobacco products,2016,4059.0,12290.0,145700.0,1662.0,4254.0,1580.0,3637.0,187994.0,34776.0,175330.0,478.0,363323.0,119359.0,68957.0,50402.0,0.09571648367981107,0.19834597615924257,0.47328071379547015,0.007029283916723862,2.8296175752644426
  Beverages and tobacco products,2017,3733.0,10609.0,124700.0,1635.0,3837.0,1653.0,3969.0,168741.0,20944.0,164164.0,375.0,332905.0,116494.0,56147.0,60347.0,0.0629128430032592,0.1275797373358349,0.45025661587810745,0.0070896819032344295,1.9741728720897351
  Beverages and tobacco products,2018,3841.0,10560.0,122600.0,1770.0,4407.0,1639.0,3769.0,179487.0,23768.0,169880.0,299.0,349367.0,115806.0,55806.0,60000.0,0.06803161145729276,0.1399105250765246,0.4551876019575856,0.007177814029363784,2.250757575757576
  Beverages and tobacco products,2019,4568.0,10789.0,124400.0,1666.0,4278.0,2000.0,3311.0,234406.0,12533.0,127683.0,378.0,362089.0,119090.0,54040.0,65050.0,0.0346130371262314,0.09815715482875559,0.4344051446945338,0.007227357984994641,1.1616461210492168
  Broadcasting (except internet) and telecommunications,2009,47236.0,66875.0,929400.0,,,,,619438.0,31235.0,366854.0,1128.0,986292.0,428413.0,181647.0,246766.0,0.0316691203010873,0.08514286337344011,0.19544544867656552,0.005996252062262391,0.4670654205607477
  Broadcasting (except internet) and telecommunications,2010,49289.0,69728.0,898600.0,,61.0,1.0,,584895.0,51909.0,394069.0,1157.0,978964.0,434456.0,203463.0,230993.0,0.053024421735630725,0.1317256622571174,0.22642221233029156,0.006466355070850954,0.7444498623221661
