"year" "sector" "PT_arg" "ppi_arg_99" "ipt_arg_99" "ipt_arg_99_index" "country" "PT_bench" "ppi_bench_99" "ipt_bench_99" "ipt_bench_99_index" "brecha_anio_base"
1999 "Mining" 0.218055555555556 1 0.218055555555556 1 "Germany" 0.955 1 0.955 1 0.117571967287677
1999 "Mining" 0.218055555555556 1 0.218055555555556 1 "Denmark" 0.9125 1 0.9125 1 0.123047921928473
1999 "Mining" 0.218055555555556 1 0.218055555555556 1 "Norway" 0.73 1 0.73 1 0.153809902410591
1999 "Mining" 0.218055555555556 1 0.218055555555556 1 "Netherlands" 0.1955 1 0.1955 1 0.574328535855403
1999 "Mining" 0.218055555555556 1 0.218055555555556 1 "France" -0.03 1 -0.03 1 -3.74270762532438
1999 "Information" 0.127037037037037 1 0.127037037037037 1 "Ireland" 0.197567567567568 1 0.197567567567568 1 0.331096586809738
1999 "Information" 0.127037037037037 1 0.127037037037037 1 "Sweden" 0.106744186046512 1 0.106744186046512 1 0.612810399410615
1999 "Information" 0.127037037037037 1 0.127037037037037 1 "Germany" 0.0939669421487603 1 0.0939669421487603 1 0.696137873491364
1999 "Information" 0.127037037037037 1 0.127037037037037 1 "Netherlands" 0.0755102040816327 1 0.0755102040816327 1 0.866292815408182
1999 "Information" 0.127037037037037 1 0.127037037037037 1 "Finland" 0.0725 1 0.0725 1 0.902261341874814
1999 "Information" 0.127037037037037 1 0.127037037037037 1 "France" 0.0691472868217054 1 0.0691472868217054 1 0.946008878910785
1999 "Information" 0.127037037037037 1 0.127037037037037 1 "Norway" 0.05 1 0.05 1 1.30827894571848
1999 "Information" 0.127037037037037 1 0.127037037037037 1 "Hungary" 0.03 1 0.03 1 2.1804649095308
1999 "Information" 0.127037037037037 1 0.127037037037037 1 "Poland" -0.0738461538461539 1 -0.0738461538461539 1 -0.885813869496887
1999 "Total Manufacturing" 0.0937892376681614 1 0.0937892376681614 1 "Norway" 0.201948051948052 1 0.201948051948052 1 0.239140613150101
1999 "Total Manufacturing" 0.0937892376681614 1 0.0937892376681614 1 "Ireland" 0.19861963190184 1 0.19861963190184 1 0.243148074059432
1999 "Total Manufacturing" 0.0937892376681614 1 0.0937892376681614 1 "Netherlands" 0.128965102286402 1 0.128965102286402 1 0.374473249825955
1999 "Total Manufacturing" 0.0937892376681614 1 0.0937892376681614 1 "Finland" 0.12046875 1 0.12046875 1 0.40088388870413
1999 "Total Manufacturing" 0.0937892376681614 1 0.0937892376681614 1 "Germany" 0.103071939231457 1 0.103071939231457 1 0.468546350514249
1999 "Total Manufacturing" 0.0937892376681614 1 0.0937892376681614 1 "France" 0.0939779005524862 1 0.0939779005524862 1 0.5138865699639
1999 "Total Manufacturing" 0.0937892376681614 1 0.0937892376681614 1 "Luxembourg" 0.0887012987012987 1 0.0887012987012987 1 0.544456300802939
1999 "Total Manufacturing" 0.0937892376681614 1 0.0937892376681614 1 "Sweden" 0.0719451371571072 1 0.0719451371571072 1 0.67126122592366
1999 "Total Manufacturing" 0.0937892376681614 1 0.0937892376681614 1 "Denmark" 0.0626060606060606 1 0.0626060606060606 1 0.771394662111203
1999 "Total Manufacturing" 0.0937892376681614 1 0.0937892376681614 1 "Greece" 0.0607142857142857 1 0.0607142857142857 1 0.795430274755952
1999 "Total Manufacturing" 0.0937892376681614 1 0.0937892376681614 1 "Portugal" 0.0354545454545455 1 0.0354545454545455 1 1.36213792471944
1999 "Total Manufacturing" 0.0937892376681614 1 0.0937892376681614 1 "Poland" 0.0248507462686567 1 0.0248507462686567 1 1.94336139628277
1999 "Total Manufacturing" 0.0937892376681614 1 0.0937892376681614 1 "Hungary" 0.0185972850678733 1 0.0185972850678733 1 2.59682963352286
1999 "Utilities" 0.0797368421052632 1 0.0797368421052632 1 "Netherlands" 0.076875 1 0.076875 1 0.534089332585964
1999 "Utilities" 0.0797368421052632 1 0.0797368421052632 1 "Germany" 0.03 1 0.03 1 1.36860391475153
1999 "Utilities" 0.0797368421052632 1 0.0797368421052632 1 "Poland" 0.0216666666666667 1 0.0216666666666667 1 1.89499003580981
1999 "All Industries Total" 0.0773560767590618 1 0.0773560767590618 1 "Ireland" 0.175058962264151 1 0.175058962264151 1 0.227535983061719
1999 "All Industries Total" 0.0773560767590618 1 0.0773560767590618 1 "Finland" 0.147763157894737 1 0.147763157894737 1 0.269567960241575
1999 "All Industries Total" 0.0773560767590618 1 0.0773560767590618 1 "Luxembourg" 0.130851063829787 1 0.130851063829787 1 0.304408782830779
1999 "All Industries Total" 0.0773560767590618 1 0.0773560767590618 1 "Norway" 0.129281314168378 1 0.129281314168378 1 0.308104951815851
1999 "All Industries Total" 0.0773560767590618 1 0.0773560767590618 1 "Netherlands" 0.114912386706949 1 0.114912386706949 1 0.346631152776581
1999 "All Industries Total" 0.0773560767590618 1 0.0773560767590618 1 "Germany" 0.096648454573837 1 0.096648454573837 1 0.412135023246618
1999 "All Industries Total" 0.0773560767590618 1 0.0773560767590618 1 "Denmark" 0.0915568862275449 1 0.0915568862275449 1 0.435054256580369
1999 "All Industries Total" 0.0773560767590618 1 0.0773560767590618 1 "Sweden" 0.0856077348066298 1 0.0856077348066298 1 0.46528754863694
1999 "All Industries Total" 0.0773560767590618 1 0.0773560767590618 1 "Greece" 0.0750769230769231 1 0.0750769230769231 1 0.530552018384215
1999 "All Industries Total" 0.0773560767590618 1 0.0773560767590618 1 "France" 0.0706730769230769 1 0.0706730769230769 1 0.563612266604619
