;year;sector;vab;emp;IPC;TCC;index_TCP_1;index_TCP_2;TCP_1;TCP_2;ipi_empalme_04;vab_ipc;vab_ipi;vab_tcp_1;vab_tcc;vab_ipi_index;emp_index;productividad_ipc_level;productividad_ipi_level;productividad_tcp_1_level;productividad_tcc_level;productividad_ipi_index_1
131;2007;Minas y canteras;36103.0;27325.0;1.4301885530069212;3.1191666666666666;1.4597207637984138;1.045406646701571;4.553112349081219;3.260797565503317;1.3207406030000002;25243.524655609017;27335.420685934645;7929.301372781916;11574.565856265028;2.891838069010944;2.292750461486827;0.9238252389975853;1.0003813608759249;0.29018486268186333;0.4235888693967073;1.2612964723320192
132;2007;Resto industria;89711.0;647296.0;1.4301885530069212;3.1191666666666666;1.4597207637984138;1.045406646701571;4.553112349081219;3.260797565503317;1.3207406030000002;62726.69419104619;67924.76872159884;19703.22564478405;28761.20758749666;1.3005418826356634;1.2496230644043453;0.0969057343024616;0.10493617869042732;0.030439282252298867;0.0444328523388012;1.040747341883922
133;2007;Total;177036.0;644358.0;1.4301885530069212;3.1191666666666666;1.4597207637984138;1.045406646701571;4.553112349081219;3.260797565503317;1.3207406030000002;123785.07688918921;134042.97528058957;38882.41414375036;56757.46727224152;1.6690385283369515;1.1767354966662467;0.19210606043408976;0.20802562438984162;0.060342874836271695;0.0880837473457946;1.4183633731330663
134;2007;Total Manufactura;91387.0;277924.0;1.4301885530069212;3.1191666666666666;1.4597207637984138;1.045406646701571;4.553112349081219;3.260797565503317;1.3207406030000002;63898.56764540735;69193.75371092456;20071.325500773368;29298.53059043548;1.7569327893769209;1.042972458748166;0.22991381689025542;0.24896645741614457;0.07221875584970484;0.1054192174495023;1.6845438004045574
135;2008;Alimentos, bebidas y tabaco;42605.0;127287.0;1.8171998268522611;3.1831666666666667;1.7492073402923984;1.2535363609397792;5.56801849870742;3.9902151595981405;1.5848373889999998;23445.41275562415;26882.884197275842;7651.734635919489;13384.470391119954;2.2814200006732372;1.207587803350853;0.18419330140253248;0.21119897709330757;0.06011403078020135;0.10515190389529139;1.8892373658815373
136;2008;Combustibles, quimicos y plasticos;42983.0;51685.0;1.8171998268522611;3.1831666666666667;1.7492073402923984;1.2535363609397792;5.56801849870742;3.9902151595981405;1.5848373889999998;23653.425102100526;27121.394471341566;7719.622341408929;13503.22006387769;1.7355873664102843;1.0740186605157618;0.45764583732418546;0.5247440160847744;0.14935904694609517;0.2612599412571866;1.6159750572460503
137;2008;Comunicaciones;20252.0;65493.0;1.8171998268522611;3.1831666666666667;1.7492073402923984;1.2535363609397792;5.56801849870742;3.9902151595981405;1.5848373889999998;11144.61915566014;12778.598069785949;3637.2005597146226;6362.217917168438;1.1715952040297528;1.103132895401718;0.17016504291542822;0.19511395217482705;0.0555357146521708;0.09714347971796128;1.0620617052699741
138;2008;Electricidad, gas y agua;10006.0;31930.0;1.8171998268522611;3.1831666666666667;1.7492073402923984;1.2535363609397792;5.56801849870742;3.9902151595981405;1.5848373889999998;5506.273912282015;6313.581487570522;1797.0486273209813;3143.410649772239;0.8790599829866246;0.9889735489066468;0.17244829039404994;0.19773196014940564;0.056280884037612944;0.09844693547673784;0.8888609649453856
139;2008;Maquinarias, equipos y vehiculos;10659.0;48317.0;1.8171998268522611;3.1831666666666667;1.7492073402923984;1.2535363609397792;5.56801849870742;3.9902151595981405;1.5848373889999998;5865.617992306016;6725.611140916869;1914.3255365395103;3348.5522802240953;1.4596811679563086;1.159376124775045;0.12139863800124213;0.13919761452318788;0.039620124108274736;0.06930381191348998;1.259022966545505
140;2008;Minas y canteras;37639.0;29568.0;1.8171998268522611;3.1831666666666667;1.7492073402923984;1.2535363609397792;5.56801849870742;3.9902151595981405;1.5848373889999998;20712.63679636046;23749.439697248337;6759.855415124367;11824.388711450862;2.5124740029891446;2.480953180063769;0.7005085496604593;0.8032142754751196;0.22862065121497455;0.3999049212476617;1.0127051260695557
