Data on activities of multinational enterprises
Data on activities of multinational enterprises
"By Country and Industry (NAICS) (Millions of Dollars) "
,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,Mining,Mining,Mining,Mining,Mining,Mining,Mining,Mining,Mining,Mining,Utilities,Utilities,Utilities,Utilities,Utilities,Utilities,Utilities,Utilities,Utilities,Utilities,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Information,Information,Information,Information,Information,Information,Information,Information,Information,Information,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,"Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services",Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries
"  Finland",68,142,130,119,131,400,480,435,374,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,76,80,67,78,(D),455,394,321,268,(*),(*),(*),(*),(*),0,0,0,0,0,15,18,14,14,12,9,8,7,8,9,0,0,(*),(*),0,0,0,0,0,0,(*),(*),3,3,5,6,(D),8,(D),(D),1,(D),(D),7,10,(D),(D),(D),(D),(D),0,0,(*),(*),(*),1,(D),(D),(D),(D),0,9,(D),14,15,(*),(*),(*),(*),0,21,39,22,23,(D),6,15,25,47,69,8,(D),(D),(D),11,(D),(*),8,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,7,3,3,(*),(D),(D),(D),(D),(*),(*),0,0,0
"  France",4951,4931,4126,3615,3883,3859,4427,4443,5230,5202,(*),(*),(*),4,9,8,9,(*),(*),(*),0,0,0,0,0,0,0,0,0,0,3450,3362,3000,2407,2766,2891,3296,3514,4348,4291,6,47,19,17,20,19,5,9,(D),4,1098,1350,1167,824,1077,1083,1261,1375,1896,1943,42,64,51,93,152,145,160,218,240,304,357,313,299,277,382,326,590,391,463,557,842,840,620,465,538,604,255,391,573,278,44,50,71,66,59,33,68,25,34,37,625,(D),376,332,195,266,380,318,266,312,1393,1372,966,1026,(D),882,1056,859,818,862,79,141,106,122,115,17,4,8,11,6,0,0,0,0,0,0,0,0,0,0,1,1,9,17,(D),(D),12,21,16,14,28,53,45,39,(D),(D),49,41,36,30
"  Germany",7960,8565,7274,6327,6219,5739,6851,7759,8792,10013,3,4,5,8,(D),(D),(D),(D),(D),6,0,0,0,0,0,0,0,0,0,0,4893,5707,4899,3939,3809,3820,4739,5575,6184,6985,(D),(D),(D),(D),(D),6,(D),(D),34,30,511,555,522,553,478,293,353,586,996,1029,217,106,212,153,162,141,185,210,213,175,495,423,478,506,501,552,873,890,685,915,2226,2860,2060,1379,1249,1397,1155,1167,1306,1044,52,41,42,87,60,162,175,166,154,141,751,614,405,373,484,431,1005,1343,1670,2361,2708,2537,1994,2040,1971,1563,1729,1726,2234,2632,(D),58,85,81,45,12,16,26,35,14,0,0,2,2,0,0,0,0,0,0,(D),(D),10,17,19,6,74,75,83,118,266,(D),279,241,(D),(D),(D),(D),(D),259
"  Greece",56,92,56,53,48,97,47,55,116,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,34,17,6,9,2,1,(D),(D),(D),1,(D),1,1,1,(*),(*),(*),(*),(*),(D),7,(D),(*),2,(*),(*),1,1,1,1,(D),0,0,0,(*),0,1,0,(*),0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,58,39,47,39,95,46,(D),(D),(D),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(*),(*),(*),(*),(*),(*),(*),(*)
"  Hungary",115,118,248,175,301,273,117,153,222,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,95,225,145,262,229,66,134,189,132,3,2,2,(*),0,0,0,0,0,0,4,9,5,6,5,(D),(*),3,5,2,1,(D),5,0,0,(*),(*),(*),(D),(D),(*),(*),(*),(*),(*),(D),(D),(D),(D),(D),(*),2,(D),65,73,20,12,28,27,42,(D),(D),(D),(D),(D),130,(D),(D),(D),(D),37,15,28,17,43,(D),(D),(D),(D),(D),16,17,17,(D),38,(D),47,18,31,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,6,(D),1,(D),4,1,2,2,0,(*),0,(*),(*),0,0,0,0,0
"  Ireland",2658,2162,1877,2205,2048,2330,2383,3489,4897,3066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2273,1771,1645,2111,1919,2038,2066,3230,4636,2775,4,(D),(D),(D),(*),1,4,(D),(D),(D),515,439,360,477,413,629,562,626,1007,397,11,11,11,12,15,7,7,8,9,4,(D),(D),1,1,1,6,8,7,7,4,1273,1006,1046,1335,1214,1182,1235,2216,3172,1912,(D),37,(D),(D),(D),1,(D),(D),(D),(D),(D),15,15,(D),6,4,9,11,4,3,359,360,127,80,51,222,255,227,246,279,(D),(*),(D),(D),15,24,(*),7,7,3,0,0,0,0,0,0,0,(*),0,0,0,1,(*),0,(D),(D),(D),(*),(*),0,(D),31,(D),(D),(D),(D),(D),26,8,9
"  Italy",2202,1966,1498,1413,2114,2225,1831,2354,2419,2031,2,2,2,2,2,2,3,3,3,3,0,0,0,3,0,0,0,0,0,0,1325,1236,872,727,1506,1621,1190,1677,1880,1455,2,2,1,2,(*),(*),(*),(D),(D),(*),250,328,351,242,666,726,290,321,277,216,17,19,12,12,35,47,46,49,16,15,285,447,195,185,443,445,(D),626,670,609,522,254,199,186,197,274,217,243,207,217,2,10,10,24,24,22,16,30,25,7,130,82,42,19,85,70,60,62,275,121,828,701,574,639,556,548,496,533,459,491,9,9,10,11,14,5,(*),(*),(*),(*),0,0,0,0,0,0,0,0,0,0,19,13,16,7,7,8,(D),(D),9,11,19,5,25,24,30,41,(D),(D),68,71
"  Luxembourg",145,180,92,60,506,249,460,322,299,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,(D),50,56,500,(D),393,318,294,303,0,0,0,0,0,0,0,0,0,0,(D),0,0,0,(D),(D),(D),(D),(D),(D),1,1,1,3,3,(D),(D),(D),5,4,0,0,0,0,0,0,0,0,(D),(D),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,111,37,1,1,(D),(D),0,0,(D),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,(D),4,4,5,0,(D),4,5,(D),0,0,0,0,0,0,0,0,0,0
"  Netherlands",5735,8755,8798,6767,7567,8117,7470,8278,11246,12725,9,4,6,14,(D),2,2,(*),(*),(*),0,0,0,0,0,0,0,0,0,0,3045,4542,4222,3108,3705,3075,2374,3306,2539,3098,184,(D),(D),(D),(D),(D),(D),326,(D),(D),772,1345,1347,1141,1192,866,521,1270,1054,940,67,61,41,49,66,67,53,41,30,38,288,287,236,126,363,224,262,386,396,474,1081,1864,881,244,251,286,245,279,286,311,38,33,7,12,9,(D),(D),(D),(D),157,35,43,55,40,18,26,26,(D),30,128,2623,4143,4500,3579,3701,4828,4884,4908,8670,9581,17,20,21,23,35,52,(D),(*),(*),4,0,2,0,0,0,0,0,0,0,0,(D),4,5,1,(D),1,(D),(D),15,(D),(D),41,43,42,(D),159,122,(D),23,(D)
"  Norway",270,223,268,335,327,447,626,368,308,251,(D),16,17,9,(D),16,(D),(D),30,39,0,0,0,0,0,0,0,0,0,0,200,99,127,217,235,312,546,280,232,175,0,0,0,0,0,0,0,0,0,0,5,(D),16,(D),(D),8,9,(D),(D),(D),(D),43,42,45,61,(D),(D),(D),5,(D),(D),35,66,138,142,42,(D),(D),58,(D),(*),1,(*),(D),(D),8,(D),5,(D),(D),(*),(*),(*),(*),0,0,0,0,0,0,0,0,(*),0,0,0,1,0,(D),(D),56,102,117,101,64,104,61,64,(D),24,1,0,0,0,0,9,(D),(D),(D),(D),0,0,0,0,0,0,0,0,0,0,(D),5,6,6,(D),6,(*),(*),(*),(D),(D),1,1,1,(D),0,0,3,(*),(*)
