Data on activities of multinational enterprises
Data on activities of multinational enterprises
"By Country and Industry (NAICS) (Millions of Dollars) "
,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,Mining,Mining,Mining,Mining,Mining,Mining,Mining,Mining,Mining,Mining,Utilities,Utilities,Utilities,Utilities,Utilities,Utilities,Utilities,Utilities,Utilities,Utilities,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Information,Information,Information,Information,Information,Information,Information,Information,Information,Information,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,"Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services",Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries
"  Finland",(D),254,183,174,204,285,385,420,265,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(D),245,178,170,195,278,375,415,224,193,0,0,0,0,0,0,0,0,0,0,(D),(D),(D),87,(D),(D),(D),(D),(D),(D),7,(D),(D),50,(D),(D),(D),(D),1,2,(D),7,6,6,(D),53,(D),(D),37,(D),3,28,26,10,56,54,(D),(D),(D),(D),0,0,0,0,0,3,(*),(*),(*),1,5,22,18,18,18,4,(D),(D),(D),0,5,4,4,4,9,7,9,5,32,30,0,0,0,0,0,0,1,(*),1,(D),0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,(*),1,(*),8,(D),0,0,0,0,0,0,0,0,0,0
"  France",3081,3268,2932,3072,3192,4484,6378,5106,6783,7824,0,5,0,(*),0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2259,2400,2094,2052,2221,3520,5380,4369,5793,7047,(D),10,7,8,8,12,74,36,42,(D),393,573,610,591,734,1548,1675,650,718,898,50,57,105,91,87,68,70,50,63,87,546,499,182,213,177,289,1451,1522,1902,3216,639,683,604,544,571,808,478,542,980,977,60,61,106,81,73,79,71,61,(D),(D),332,247,216,259,302,387,463,439,418,344,820,860,835,1017,959,960,995,729,978,771,(*),0,0,(*),(*),(*),(*),3,(*),1,0,0,0,0,0,0,0,0,0,0,(*),(*),(*),(*),9,0,0,0,(D),0,1,2,2,2,2,2,2,2,(D),5
"  Germany",4364,5343,4928,4827,5118,5939,5910,6611,8049,7409,(*),(*),(*),(D),(D),(D),(D),(D),(D),(D),0,0,0,0,0,0,0,0,0,0,4218,5204,4579,4220,4483,5608,5378,6052,7433,6803,39,36,(D),(D),(D),(D),51,69,(D),(D),311,359,370,483,440,494,499,823,1651,1756,113,137,236,(D),219,240,279,314,276,233,590,709,669,603,691,1003,1148,1127,1254,1678,996,1850,1328,909,851,1137,331,491,701,551,431,344,453,403,507,541,607,762,947,527,1575,1569,1247,1250,1420,1541,1419,1194,1473,995,(D),118,240,470,567,146,325,474,515,574,1,0,(D),(*),0,1,5,1,1,1,0,0,(D),(D),0,0,0,0,0,0,9,3,(*),1,2,2,1,2,1,9,(D),18,17,(D),(D),(D),(D),(D),(D),(D)
"  Greece",2,9,8,(D),16,30,(D),3,4,(D),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,5,(D),15,(D),(D),3,3,(*),(*),1,(*),(*),(*),0,0,0,0,0,0,(*),(*),(*),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,1,(D),1,1,1,(D),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"  Hungary",776,(D),976,709,751,215,111,503,583,743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,772,(D),973,706,696,152,(D),(D),(D),(D),0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,(D),(D),(D),2,1,2,2,2,(D),(D),(*),(*),(*),(*),(*),8,2,2,2,7,(D),(D),(D),(D),592,23,(D),(D),(D),(D),(D),(D),(D),(D),(D),94,(D),(D),(D),(D),(D),(*),(D),(D),(D),(D),(D),(D),36,95,4,4,2,3,(D),63,(D),(D),(D),(D),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(*),(*),(*),(*),(D),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"  Ireland",5288,6575,8956,13081,15024,15384,17831,18887,20864,23783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5148,6387,8808,(D),7683,7384,6769,8033,8137,9988,3,4,4,3,5,5,4,5,3,6,3830,4487,6258,9931,4585,3714,2968,3957,3471,4435,40,40,29,32,26,16,(D),(D),(D),7,(D),(D),22,23,23,26,29,33,34,31,819,1277,1428,1294,1344,1611,1583,2501,3049,3336,70,(D),101,65,55,(D),(D),(D),(D),(D),22,33,27,13,36,56,56,70,(D),(D),140,188,147,(D),(D),(D),(D),(D),(D),(D),0,0,1,1,(D),4,4,8,12,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,(*),0,(*),(*),0,(D),4,(D),(D),(D),(D),(D)
"  Italy",1607,1364,1059,1184,1342,1737,1840,2392,2710,2749,0,0,0,0,0,(*),(*),(*),(*),(*),0,0,0,(*),0,0,0,0,0,0,1341,1243,995,1165,1251,1594,1671,2150,2360,2459,6,3,2,5,(*),(*),3,4,4,(*),131,202,260,341,271,237,221,361,312,366,89,95,61,46,64,99,96,129,116,236,406,346,173,292,271,237,256,320,383,498,524,383,271,268,274,605,527,667,557,(D),68,76,78,79,90,89,89,106,57,35,72,76,64,54,182,212,211,253,378,168,(D),121,60,16,(D),139,161,236,(D),(D),0,0,0,0,0,0,(*),(*),(*),(*),0,0,0,0,0,0,0,0,0,0,(*),(*),(*),0,(*),0,4,1,(D),(D),(D),(*),3,3,(D),3,4,5,(*),(*)
"  Luxembourg",80,43,48,(D),(D),(D),(D),(D),74,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(D),(D),(D),(D),(D),(D),(D),(D),74,99,0,0,0,0,0,0,0,0,0,0,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(*),1,(*),1,1,(*),(*),(*),(*),1,0,0,0,0,0,0,0,0,(D),(D),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(D),(D),(D),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"  Netherlands",1608,2414,2456,2128,2373,3425,5067,5020,4764,5681,0,0,0,0,0,(*),(*),0,0,0,0,0,0,0,0,0,0,0,0,0,1013,1224,1273,1442,1767,2568,4218,3930,3145,3377,158,(D),(D),(D),(D),(D),(D),234,228,(D),381,614,627,606,563,626,759,757,747,1052,15,16,51,55,64,48,35,32,18,24,65,91,71,101,117,135,294,296,365,343,307,210,218,142,145,124,70,(D),(D),(D),(D),(D),(D),(D),8,(D),(D),(D),(D),(D),15,15,20,19,19,27,33,43,35,55,575,1174,1169,674,582,840,(D),1075,1546,2226,0,1,0,0,0,4,(D),3,3,(D),0,0,0,0,0,0,0,0,0,0,4,4,6,5,8,1,5,6,(D),(D),15,11,8,7,16,13,(D),6,(D),8
"  Norway",151,603,234,193,533,828,436,577,817,730,0,(*),0,1,(D),(D),3,(D),6,(D),0,0,0,0,0,0,0,0,0,0,151,601,232,190,222,248,(D),(D),716,660,0,0,0,0,0,0,0,0,0,0,(D),38,33,(D),(D),(D),(D),(D),(D),(D),0,0,0,0,0,(D),(D),0,(D),(D),(D),(D),25,(D),92,44,(D),49,54,(D),(D),(D),(D),(D),(D),(D),(D),(*),(D),(D),(*),(*),(*),(*),0,(D),0,0,0,0,0,0,4,(D),(*),0,0,0,(D),(D),(*),2,2,(*),(D),(D),(D),(D),(D),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(D),(D),(*),1,1,1,1,0,0,0,(*),(*)
