Data on activities of multinational enterprises
Data on activities of multinational enterprises
"By Country and Industry (NAICS) (Millions of Dollars) "
"  Norway",8401,6236,4824,5934,5363,4073,2450,1787,1448,1400,1688,1642,8080,5965,4549,5587,4987,3761,2155,1428,1111,1089,1263,1339,175,148,151,170,244,(D),178,172,183,183,150,144,(D),5,5,8,4,1,3,9,(D),(D),(D),(D),29,22,(D),(D),24,30,17,20,24,23,(D),28,(D),(D),(D),(D),(D),23,20,14,(D),(D),(D),(D),34,58,67,22,87,(D),19,23,22,21,26,13,1,4,2,9,2,5,2,2,(D),(D),(D),1,(*),(*),(*),(*),(*),(*),6,2,1,1,2,(*),1,2,1,(*),(*),0,0,0,(D),(D),1,(D),18,7,6,(D),8,23,23,(D),36,34,37,15,5,2,(D),(D),1,2,6,4,6,6,2,1,11,6,8,6,13,(D),25,20,20,7,(D),(D),9,(D),20,19,19,(D),(D),10,5,9,9,4,25,14,16,32,14,9,19,(D),51,35,37,27,78,(D),(D),91,77,92,(D),37,37,37,(D),(D)
"  Poland",1621,1073,1172,1300,1375,1512,1697,1649,2069,1965,1855,1677,(*),(*),(D),3,4,28,6,5,4,4,2,2,1045,746,790,891,946,1037,1139,1091,1391,1414,1248,1203,149,64,68,114,143,140,248,237,225,194,242,202,135,142,125,148,128,178,97,124,139,179,100,93,209,83,62,50,76,105,113,59,120,168,225,221,13,16,15,16,17,13,16,17,24,26,44,37,36,13,19,28,18,23,16,17,(D),9,14,17,38,50,(D),(D),27,47,76,66,112,102,112,(D),153,213,269,265,285,284,359,349,444,414,327,252,35,32,40,66,38,42,42,28,32,18,66,76,2,1,2,32,12,(D),7,9,11,9,11,10,(D),(D),96,(D),(D),(D),(D),(D),(D),(D),(D),(D),285,41,30,48,74,43,57,38,44,47,107,39,9,6,6,9,14,41,53,68,77,69,76,68,(D),(D),(D),(D),(D),184,(D),(D),(D),(D),(D),(D)
"  Portugal",258,316,243,280,236,526,161,156,209,434,412,327,0,0,0,0,0,0,0,0,0,0,(*),(*),130,188,109,120,112,115,81,73,116,115,101,136,21,20,20,18,17,16,3,5,7,7,1,(D),53,24,22,18,22,11,11,10,12,14,8,7,2,(D),4,4,4,4,4,3,3,3,3,(D),2,4,(D),8,2,2,7,5,9,8,11,8,2,1,1,(D),(*),8,6,2,(D),(D),(D),(D),5,6,5,5,5,(D),4,5,5,4,4,1,12,22,32,34,32,35,23,30,34,(D),37,31,9,31,41,66,35,23,7,(D),4,12,10,36,(D),5,6,8,4,4,1,2,1,(*),2,1,2,3,1,7,2,2,1,1,1,(D),11,7,(D),45,45,46,52,1,2,3,4,6,6,9,(D),(D),(D),(D),(D),(D),(D),(D),9,(D),(D),5,33,(D),(D),(D),(D),(D),(D),53,74,(D),(D),133
"  Russia",1865,1483,1776,2178,2194,1729,1700,1446,1876,1291,1731,1226,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1104,514,601,969,1253,714,747,670,675,759,925,682,418,98,118,296,204,148,132,150,120,115,171,142,(D),37,20,27,47,68,(D),38,108,87,69,70,(D),(D),(D),(D),(D),12,(D),(D),52,47,33,50,4,18,14,29,27,45,16,23,15,28,34,27,5,6,6,3,14,4,9,8,8,19,9,7,(*),(*),(*),(*),(*),(*),(*),(*),(*),(D),(D),(D),35,106,39,79,342,81,56,(D),26,27,13,8,41,39,60,169,160,86,95,(D),70,58,148,65,(*),(*),2,2,2,(*),(*),(*),(*),(*),2,2,1,1,7,7,17,(D),(D),28,4,3,(D),(D),6,10,11,18,19,2,8,7,7,5,42,17,40,9,17,10,10,2,2,(D),(D),(D),21,(D),(D),(D),(D),(D),(D),(D),234,(D),(D),(D),(D),89
"  Spain",2074,1855,1884,2499,1975,3123,1939,3323,2464,2573,2412,2315,1,1,1,1,1,1,1,1,1,1,1,1,1214,1218,944,839,1196,1858,940,1959,1098,1090,984,979,34,176,90,84,67,56,57,74,81,66,101,86,353,212,272,312,282,253,250,206,265,346,239,313,56,105,74,46,96,(D),70,71,171,183,131,111,27,29,11,13,7,9,8,11,10,10,30,36,(D),35,(D),68,(D),(D),(D),3,6,4,6,6,30,38,34,27,15,31,28,31,39,40,34,17,466,476,289,132,510,(D),357,455,170,213,130,169,173,111,118,659,122,89,95,93,86,139,73,122,18,30,56,89,36,52,37,39,21,19,52,73,21,29,21,18,26,19,16,12,24,37,70,71,78,75,61,85,50,40,51,37,29,68,90,83,26,21,23,23,19,7,13,65,102,99,133,204,543,370,660,785,525,1058,786,1117,1103,1120,1008,783
"  Sweden",1028,452,522,848,892,510,1202,608,858,806,770,1263,0,0,0,0,0,5,5,5,(D),(D),(D),5,806,239,280,360,385,352,341,279,378,321,285,297,4,(D),(D),7,(D),2,4,5,(D),18,16,14,105,65,53,61,75,71,80,79,84,116,74,81,6,10,49,59,31,27,21,22,17,19,15,15,19,30,30,29,(D),26,80,24,21,21,20,24,16,15,18,30,24,12,12,10,11,10,8,8,6,7,6,7,3,(*),(*),(*),1,1,1,1,(D),28,51,37,47,54,48,58,55,49,37,71,58,21,25,23,31,52,20,15,27,21,24,27,15,(D),13,29,6,7,9,5,12,(D),(D),(D),20,19,16,(D),(D),13,(D),(D),332,(D),270,(D),31,46,32,55,57,4,10,9,18,14,10,(D),60,55,68,72,64,37,28,42,63,53,47,68,37,(D),87,(D),(D),40,(D),(D),(D),21,54,62
"  Switzerland",1735,1611,1881,1671,1779,2068,2251,3864,2896,2761,2705,2025,(D),(D),(D),5,(D),(D),(D),(D),(D),(D),(D),(D),603,459,625,628,632,993,752,1143,1447,1322,1361,1028,(D),8,9,(D),(D),(D),8,32,33,18,24,(D),157,100,201,217,186,484,223,753,882,820,613,418,2,6,9,10,9,15,12,12,13,10,9,11,86,15,16,22,18,25,181,65,101,75,43,37,74,53,73,74,101,75,58,24,93,107,91,90,14,16,17,21,21,25,20,17,18,10,(D),14,9,16,(D),10,(D),10,5,6,7,3,6,4,450,441,483,412,442,358,362,358,358,490,286,254,(D),(D),(D),(D),9,22,20,7,7,11,30,4,266,268,291,291,314,301,244,287,292,321,490,149,19,84,47,26,23,19,39,29,36,34,47,31,115,88,107,98,155,179,175,234,177,266,183,205,169,143,168,(D),(D),(D),(D),(D),(D),(D),(D),(D)
"  Turkey",323,471,388,380,425,411,(D),(D),(D),(D),(D),(D),4,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),217,224,302,278,333,264,366,331,311,409,340,368,(D),(D),(D),33,45,(D),58,73,(D),(D),(D),78,93,58,67,62,84,71,71,63,65,71,131,147,1,3,(D),7,6,(D),(D),(D),(D),(D),(D),(D),1,1,2,2,3,(D),3,3,3,4,6,(D),(*),(*),(*),(*),(*),(*),5,5,(D),(D),(D),2,(*),(*),(*),(*),(*),(*),(*),(*),(*),(D),0,1,36,32,22,25,17,(D),(D),34,30,52,57,64,64,64,42,29,26,93,37,87,21,48,98,27,(*),(*),(*),(*),3,2,(*),(*),(*),(*),(*),(D),9,1,1,1,1,(*),(D),(*),2,5,3,(D),2,(D),4,32,29,6,(D),4,3,7,16,9,9,(D),(D),(D),(D),(D),4,19,19,23,31,25,17,13,19,12,(D),(D),13,18,17,20,85,35
"  United Kingdom",13360,12284,16449,18758,18754,21607,19659,18601,17289,17466,18656,16818,1670,2060,3176,3038,3996,3820,2568,1752,1541,1200,1341,922,3547,3064,3392,3773,4257,4991,4042,3438,3543,3410,3661,3301,327,286,338,443,516,598,386,318,381,330,440,419,719,548,542,583,619,1239,1157,790,826,790,794,697,177,157,156,146,157,188,164,166,129,134,188,189,383,316,307,443,526,739,503,272,333,330,355,278,141,292,303,(D),378,230,243,302,279,311,269,303,19,44,40,48,60,65,57,46,43,89,37,40,594,320,564,591,714,934,539,566,544,596,534,405,581,540,638,645,618,733,877,755,819,683,442,453,1563,1334,1449,2235,1536,1818,1427,1317,1071,1184,927,1044,1805,1733,1829,2042,2123,2157,2338,2328,2731,2913,3692,3479,905,956,1532,1295,1300,1177,1221,2016,1303,1500,1486,1717,801,543,501,548,572,691,1105,841,962,1001,1084,1066,2489,2054,3933,5181,4351,6221,6081,6154,5319,5575,6024,4835
"  Other",4174,4284,3867,4396,9012,5708,(D),(D),(D),(D),(D),(D),2737,3340,2636,3335,8046,(D),(D),(D),(D),(D),(D),(D),822,545,717,649,628,(D),831,851,1061,1249,1257,1192,80,33,31,65,52,75,(D),88,49,85,137,159,126,(D),(D),(D),29,69,45,(D),113,106,(D),55,152,213,182,169,112,137,186,(D),(D),301,(D),116,20,(D),(D),(D),12,58,35,(D),12,13,34,(D),15,2,(D),10,10,14,13,(D),24,24,23,18,20,(D),23,38,(D),(D),(D),(D),(D),(D),(D),(D),(D),103,(D),(D),(D),230,223,(D),(D),(D),486,(D),57,56,44,(D),84,80,41,44,45,57,61,52,1,1,2,2,2,4,4,3,4,4,5,(D),17,(D),(D),(D),(D),(D),(D),(D),(D),66,64,59,3,4,3,13,(D),8,7,10,15,11,37,(D),11,(D),15,23,25,21,14,24,(D),(D),41,(D),525,(D),(D),(D),166,102,(D),(D),(D),154,(D),246
Latin America and Other Western Hemisphere,25961,24365,27319,32593,34296,37336,36274,29614,29129,30551,29910,26661,8334,5923,8053,12042,14559,14497,13553,9027,7062,7793,6635,4587,8776,8912,9982,10652,10090,10245,11406,10058,10962,11553,10871,9845,961,1410,1362,1496,1501,1016,1390,1583,1407,1387,1694,1572,1630,2047,2240,2058,1799,2360,2052,1495,1712,1883,2535,2096,855,(D),483,290,263,451,502,505,423,426,460,463,627,551,701,789,733,706,732,645,627,621,523,546,469,294,358,336,390,1016,961,926,1003,995,1078,1353,358,384,402,342,340,134,378,230,245,263,189,174,1397,(D),2075,3369,3084,2606,3341,2298,3466,3906,2383,1774,743,966,770,859,932,969,689,710,902,818,1034,854,1256,2400,1578,1649,1846,2349,1289,1604,1331,1430,985,1382,1572,1840,2397,2679,2547,2533,2401,2306,2460,2433,2930,2551,549,892,681,871,891,974,891,744,1079,1025,849,723,233,253,475,476,377,390,425,357,453,496,692,515,4498,3179,3383,3364,3055,5380,5621,4807,4881,5003,5913,6203
"  South America",15864,15867,17930,20750,20679,20273,21181,15419,14507,15999,16298,13290,6312,4840,6090,8559,9129,9363,10493,5629,4601,6204,4899,3478,5793,5769,6867,6455,6147,4775,4541,4359,4281,4159,5264,4424,586,(D),1010,1077,1037,471,783,917,829,788,871,855,1044,(D),1595,1480,1334,1358,1076,1037,1071,1063,1893,1598,(D),355,407,192,188,366,(D),196,168,230,272,301,(D),(D),431,447,473,424,432,337,327,(D),(D),(D),73,75,77,80,133,58,88,54,52,44,35,116,(D),(D),(D),(D),142,42,(D),59,59,46,48,40,940,(D),1233,1382,1372,767,674,485,646,668,1111,501,329,517,460,584,557,463,429,459,414,334,231,219,(D),(D),(D),(D),(D),238,163,214,186,(D),(D),(D),1391,1636,2107,2281,2095,2337,2131,2039,2166,2115,2566,2129,318,620,503,538,610,630,612,437,550,629,435,390,198,212,367,352,264,257,266,241,301,260,389,257,(D),(D),(D),(D),(D),2210,2546,2042,2007,(D),(D),(D)
"    Argentina",3740,2922,3469,3558,3467,4036,3828,2423,2834,1562,1889,1244,2932,1781,2209,2280,2236,(D),(D),1395,1680,549,905,289,396,540,623,640,657,686,560,591,653,589,546,536,69,144,182,185,135,80,109,110,148,92,77,191,128,194,206,200,216,230,188,266,287,232,152,100,4,4,4,3,3,3,2,7,9,(D),(D),8,(D),9,11,34,(D),(D),(D),29,32,36,29,26,1,1,1,1,2,1,1,1,1,1,1,1,(*),(*),(*),(*),(*),(*),(*),2,3,1,1,1,26,79,116,131,115,229,76,72,63,62,137,128,24,46,30,42,32,44,40,63,30,34,35,38,(D),(D),(D),(D),(D),(D),4,5,9,(D),22,3,154,230,314,340,310,226,204,204,228,187,221,219,45,52,42,54,56,39,22,36,96,52,37,34,(D),20,16,(D),12,11,15,13,18,11,11,6,118,(D),(D),132,(D),91,(D),117,120,(D),112,117
"    Brazil",8334,8512,9238,8448,8066,8702,7896,6723,6579,9142,7574,6370,1939,1425,1454,1366,1076,1663,976,408,334,2907,423,617,4727,4486,5299,4718,4382,3338,3183,2983,2860,2803,3742,2862,388,625,591,681,569,213,488,623,544,472,603,494,769,951,1188,1027,832,893,627,476,422,542,1292,881,(D),324,361,143,130,353,133,170,140,174,184,266,317,(D),393,380,402,359,363,298,287,228,178,146,66,69,73,74,126,56,81,41,38,31,22,86,(D),(D),(D),(D),(D),31,(D),50,45,33,40,34,898,875,1048,1139,1157,503,548,400,560,587,864,356,140,366,274,231,332,304,297,325,328,239,130,120,(D),(D),(D),(D),(D),136,39,83,88,67,45,40,716,761,1211,1129,1163,1522,1318,1256,1319,1202,1624,1341,115,135,182,209,318,353,290,263,284,449,249,208,110,101,171,201,151,91,141,134,187,178,260,171,(D),(D),(D),(D),(D),1296,1651,1272,1179,1296,1101,1011
"    Chile",1604,1783,2133,4182,4046,3950,4819,3133,2150,1890,2443,2503,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),132,163,255,258,183,113,119,134,120,140,342,453,9,(D),(D),2,(D),(D),(D),(D),40,41,(D),42,28,54,51,91,61,66,71,57,55,66,236,(D),(*),(*),(*),(*),(*),(*),(*),(D),(D),5,(D),9,2,1,(D),(D),3,1,(*),(*),1,1,1,1,3,2,1,2,3,(*),1,9,3,5,5,(D),0,0,0,0,0,2,1,1,1,(D),(*),(*),1,2,3,(*),(*),(*),(*),(*),(*),(*),1,(*),27,29,46,31,32,34,25,27,18,15,14,17,1,(D),(D),(D),(D),(*),(D),(D),(D),3,(D),(D),187,329,256,288,314,293,310,254,321,438,396,398,112,79,84,38,60,61,109,53,50,43,50,60,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),9,(D),403,456,461,547,(D),(D),(D),572,(D),887,851
"    Colombia",1020,1044,1041,1160,1127,1169,900,763,793,809,1054,801,693,548,(D),(D),(D),610,389,231,312,348,340,134,209,205,205,282,257,254,227,214,201,198,310,265,26,33,47,40,48,51,35,24,19,(D),74,(D),47,70,41,34,58,56,40,31,47,38,30,73,7,9,(D),(D),(D),(*),(D),(D),(D),(D),(D),(D),(*),(*),(*),(*),(*),2,1,1,1,5,1,1,(*),(*),(*),(D),1,1,6,3,4,6,6,6,2,2,2,2,4,6,4,5,9,(D),7,4,3,(D),(D),(D),(D),(D),2,2,(D),6,(D),6,21,22,27,43,34,27,27,25,22,22,22,18,7,2,3,4,2,(D),(D),(D),(D),9,(D),(D),(D),(D),(D),(D),(D),111,(D),126,(D),(D),159,128,4,(D),27,30,8,(D),(D),62,(D),(D),72,79,10,(D),11,20,(D),41,34,30,28,24,24,28,(D),21,20,29,19,34,40,(D),36,35,(D),(D)
"    Ecuador",49,55,92,170,178,111,108,67,60,64,83,89,11,9,23,(D),100,30,14,7,5,6,(D),(D),27,(D),55,(D),47,45,65,41,35,34,18,20,8,(D),(D),(D),(D),(D),(D),(D),1,2,4,5,2,2,6,4,4,3,3,3,11,11,4,3,(*),(*),(*),(*),(*),0,0,0,0,0,0,0,(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(D),(D),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),0,0,0,0,0,(*),(*),(*),(*),(*),(*),(*),(*),5,8,(D),(D),(*),(D),4,6,6,(*),2,(D),(D),6,18,17,7,7,4,4,3,5,5,(*),(*),(*),(*),1,3,(D),(D),(D),3,3,3,(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),2,(*),1,2,1,1,1,(D),4,4,3,10,6,4,(*),1,1,1,1,(*),3,3,5,2,3,3,(D),7,7,(D),11,(D),(D),(D),(D),6,(D),(D)
"    Peru",607,919,1255,1973,2815,1628,2564,1270,1101,1325,1202,655,223,(D),754,1584,2488,(D),(D),1063,863,1137,991,477,86,72,103,78,90,126,141,126,119,113,110,106,(D),15,17,26,19,23,39,42,27,27,17,10,12,10,22,17,31,45,54,49,(D),57,69,59,8,(D),(D),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(D),(D),3,3,3,3,2,(*),(*),(*),(D),(*),(*),(*),(*),5,1,1,(D),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),0,0,0,0,0,0,0,(*),(*),(*),(*),(*),0,0,74,33,50,38,40,30,23,6,7,14,9,7,(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(D),(D),(D),(D),5,3,3,3,3,3,21,(D),(D),(D),(D),(D),(D),(D),(D),1,(D),(D),14,3,2,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),34,61,(D),85,(D),(D),94,(D),43,33,(D),29
"    Venezuela",363,467,489,975,760,459,434,393,408,328,292,161,19,8,13,76,42,31,21,5,5,5,1,2,182,212,217,313,445,192,199,219,261,177,(D),148,56,50,54,62,191,61,48,46,(D),43,(D),(D),(D),97,76,103,128,65,91,153,197,116,(D),(D),(*),(*),(*),1,(D),(D),3,3,3,3,3,(D),7,4,5,(D),4,1,1,1,1,1,(*),(*),1,1,(*),(D),1,(*),(*),(*),(*),(*),(*),(*),1,0,1,(D),(D),2,2,(*),(*),(*),(*),(*),12,40,(D),(D),(D),(D),(D),7,6,6,(D),8,35,9,17,(D),(D),8,5,4,(D),3,2,2,4,5,6,(D),9,9,1,1,(*),(D),(*),(*),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1,3,(D),(D),(D),47,(D),60,(D),4,(D),3,1,8,(D),(D),(D),(D),37,(D),(D),5,5,5,7,(D),(D),(D),(D),(D),7,6,9,(D),(D),1,1
"    Other",146,164,211,284,221,218,632,647,582,878,1759,1467,(D),10,8,41,42,30,(D),(D),(D),(D),(D),(D),34,(D),110,(D),87,21,45,52,32,105,(D),34,(D),(D),(D),(D),(D),1,(D),11,(D),(D),(D),14,(D),(D),5,5,5,1,2,2,(D),1,(D),4,1,(D),2,(D),7,(D),(*),(*),(*),(*),(*),(*),(D),2,(D),2,(D),1,1,6,3,(D),0,0,(*),(*),(*),(D),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(D),(*),(D),(*),(D),(D),10,(D),(D),8,5,5,(D),4,14,10,(*),(*),(*),(*),(*),2,2,2,2,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),9,9,(D),(D),4,6,(D),3,2,3,2,1,1,1,1,1,1,(*),1,1,1,3,(D),(D),(D),(D),(D),1,(D),(D),43,42,43,(D),(D)
"  Central America",5760,6014,6123,7765,8205,10262,9707,9622,10805,11222,10413,11083,338,344,580,1125,(D),1194,289,712,817,539,467,495,2867,2969,2863,4044,3764,5053,6349,5489,6519,7247,5454,5169,366,477,339,(D),(D),538,598,(D),573,596,(D),(D),580,623,(D),568,451,(D),(D),371,586,803,624,448,(D),36,(D),(D),(D),(D),284,305,252,(D),187,156,268,196,(D),(D),(D),(D),(D),(D),(D),295,259,254,394,218,281,256,257,902,833,858,940,942,1032,1223,(D),(D),(D),(D),198,92,(D),171,187,216,140,134,456,704,842,1986,1712,1839,2667,1812,2819,3238,1271,1273,280,328,155,197,296,227,206,167,335,341,654,570,1105,(D),(D),(D),(D),2101,(D),(D),(D),1148,661,1051,138,(D),235,373,(D),(D),250,249,(D),309,346,397,204,201,139,276,205,267,187,216,433,290,282,158,34,40,108,115,104,(D),(D),(D),(D),221,302,256,794,(D),(D),(D),(D),1123,1244,1383,1242,1128,2247,2985
"    Costa Rica",189,188,260,218,329,1312,1547,1351,1274,1303,1413,1635,0,0,0,0,0,0,0,0,0,0,0,0,145,144,204,179,175,859,911,904,1011,1126,1148,1347,(*),(*),(*),(D),(D),(D),(D),(D),(D),(D),8,(D),64,57,37,33,34,(D),52,39,32,28,41,80,(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),0,0,0,0,0,(*),(*),(*),(*),(*),(*),(*),(D),(D),(D),79,(D),(D),(D),(D),(D),(D),(D),(D),9,(D),(D),(D),(D),2,(D),4,(D),5,5,4,0,0,0,0,0,5,6,6,7,6,1,1,9,22,23,(D),(D),(D),13,14,(D),(D),54,44,(D),2,2,4,(D),(D),(D),(D),(D),(D),(D),140,(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),5,(D),(*),1,2,1,1,(*),(*),(*),2,4,3,5,3,5,(D),3,(D),(D),(D),(D),(D),9,10,10,(D),14,(D),(D),17,(D),(D),(D),46,51,(D),(D)
"    Honduras",23,30,69,40,50,84,61,145,167,167,200,219,0,0,0,0,0,0,0,0,0,0,(*),(*),4,9,39,11,23,25,17,21,23,36,31,18,1,5,(D),4,(D),(D),7,(D),(D),(D),(D),(D),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),0,0,0,0,0,(*),(*),(*),(*),(*),0,0,1,1,1,1,1,1,1,1,(*),(*),(*),(*),1,1,1,3,5,3,4,3,14,14,20,(D),1,1,2,3,(D),(D),(D),(D),(D),(D),(D),(D),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(D),2,3,(D),1,(D),3,3,3,3,3,3,0,0,0,0,0,(*),(*),(*),(*),(*),(*),(*),(D),16,24,(D),(D),7,(D),(D),(D),(D),(D),(D)
"    Mexico",5132,5235,5448,7247,7466,8393,7573,7674,8908,9297,8243,7550,335,339,577,1122,(D),1190,285,709,813,536,464,492,2600,2648,2555,3799,3492,4000,5287,4420,5360,5952,4116,3687,354,459,295,376,415,489,544,535,487,492,679,610,498,558,496,511,383,710,568,313,540,763,571,355,(D),36,(D),(D),(D),(D),281,301,249,172,180,149,268,196,(D),(D),(D),(D),(D),(D),249,295,258,254,345,181,(D),171,194,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),84,(D),89,(D),168,(D),211,136,129,456,703,841,1986,1711,1833,2660,1805,2813,3232,1270,1272,255,287,123,171,254,195,172,126,236,261,563,497,1072,1166,(D),(D),938,(D),276,792,723,889,405,696,137,167,234,372,(D),(D),250,(D),(D),309,340,(D),192,183,125,264,193,192,136,168,417,272,262,138,29,33,95,110,83,95,135,88,123,211,292,246,512,411,(D),(D),591,973,1032,(D),(D),867,1802,(D)
"    Panama",193,243,195,124,141,195,192,169,139,128,173,(D),3,5,3,3,3,4,4,4,4,4,3,3,5,3,5,4,10,77,49,35,33,32,20,12,3,1,3,2,1,1,(*),(*),(*),(*),(D),1,1,1,2,2,4,(D),(D),(D),(D),(D),3,4,0,0,0,0,0,(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,(D),3,8,(D),11,(D),(D),(D),(D),14,(D),13,(D),2,5,4,6,(D),4,5,(D),8,(D),(*),(D),(*),(*),(*),(*),(*),(D),(*),(*),(*),(*),(D),9,1,1,2,(D),(D),(D),3,2,(D),3,2,2,(D),2,(D),(*),(*),(*),(*),(*),(*),(*),(D),199,(D),101,97,(D),64,69,(D),59,(D),(D)
"    Other",223,318,151,136,218,278,334,283,317,327,385,(D),(*),(*),(*),(*),(*),0,0,0,0,0,(*),(*),113,165,59,51,64,93,85,110,93,101,139,105,8,11,(D),(D),16,(D),(D),(D),(D),(D),(D),(D),17,7,(D),22,29,(D),(D),(D),(D),(D),8,9,(*),(*),(*),(*),(*),1,2,3,3,(D),6,6,(*),(*),(*),(*),(*),(*),(*),(*),(D),(*),0,0,(D),(D),7,7,(D),2,3,4,4,5,5,6,0,0,1,1,(*),(*),(*),(*),(*),(*),(*),(*),0,0,0,0,0,0,0,0,0,0,(*),(*),6,(D),6,(D),1,(D),(D),(D),3,3,3,2,(D),2,3,6,(D),(D),(D),(D),(D),(D),(D),(D),(*),(D),(*),(*),(*),(*),(*),(D),(*),(*),1,2,(D),5,9,(D),8,(D),(D),(D),9,9,(D),10,(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),90,(D),73,(D),(D),53,80,61,(D),(D),(D),(D)
"  Other Western Hemisphere",4337,2485,3266,4077,5412,6801,5386,4573,3816,3330,3199,2289,1684,739,1383,2358,(D),3940,2771,2686,1643,1050,1269,614,116,174,252,153,178,417,517,211,162,148,153,252,8,(D),13,(D),(D),7,9,(D),5,4,(D),(D),7,(D),(D),10,14,(D),(D),87,55,17,19,51,(D),(D),(D),(D),(D),(D),(D),4,3,(D),2,7,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),2,1,(*),(*),(*),56,39,14,12,10,11,14,0,0,0,0,0,(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),134,120,155,77,79,279,53,84,152,144,148,66,(D),(D),(D),9,1,9,(D),(D),(D),(D),(D),(D),44,(D),55,25,(D),(D),19,18,(D),9,18,25,27,71,39,57,76,77,91,91,96,106,132,174,1,(*),(*),9,9,(D),(D),(D),(D),15,2,1,(D),1294,(D),1389,1106,2047,1831,1383,1631,(D),(D),(D)
"    Barbados",111,(D),(D),(D),(D),(D),(D),(D),(D),(D),531,15,1,1,1,1,1,(*),(*),(*),(*),(*),(*),(D),(*),(*),(*),(*),(*),1,1,1,1,1,1,(D),0,0,0,0,0,(*),(*),(*),(*),(*),(*),(D),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),0,0,0,0,0,0,0,0,0,0,(*),(*),0,0,0,0,0,(*),(*),(*),(*),(*),(*),(*),(*),0,0,0,0,(*),(*),(*),(*),(*),(*),(*),0,0,0,0,0,(*),(*),(*),(*),(*),(*),(*),0,0,0,0,0,0,0,0,0,0,0,0,(D),(D),(D),1,(D),(D),(D),(D),(D),(D),(D),(D),(*),1,1,3,(*),1,1,1,1,1,(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),0,0,(*),(D),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
"    Bermuda",(D),528,499,452,2666,993,764,506,696,866,219,328,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),40,(D),(D),50,107,0,0,0,0,0,0,0,0,0,0,(D),(D),0,(*),(*),(*),(*),(*),(*),(*),(*),(*),4,(D),0,0,0,0,0,(*),(*),(*),(*),(*),0,0,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1,1,0,0,0,(D),(D),(D),3,(*),2,7,0,0,0,0,0,0,0,0,0,0,0,0,(*),(*),(*),(*),(*),0,0,0,0,0,0,0,2,4,5,2,(D),5,6,6,5,5,9,18,0,0,0,0,0,0,0,0,0,0,0,0,7,7,(D),(D),(D),(*),7,8,3,6,7,7,8,20,15,40,52,59,56,54,58,68,79,122,(*),(*),(*),(*),(*),(*),(*),(*),(*),1,(*),(*),(D),(D),98,76,(D),(D),(D),(D),511,(D),(D),(D)
