Data on activities of multinational enterprises
Data on activities of multinational enterprises
"By Country and Industry (NAICS) (Millions of Dollars) "
"  Denmark",981,646,799,811,918,704,638,461,492,586,827,608,(D),486,618,594,485,(D),(D),(D),(D),(D),93,(D),138,54,64,116,272,270,261,300,364,416,343,330,5,2,3,2,2,6,(*),6,(D),(D),(D),(D),7,6,10,36,(D),(D),183,210,45,46,22,25,6,9,3,3,3,5,5,10,8,14,8,16,(D),8,(D),33,23,17,29,26,14,23,18,43,14,7,7,17,46,37,27,26,9,7,5,5,1,1,1,1,(*),(*),(*),(*),(*),(*),(*),0,(*),(*),(*),(*),(*),(*),(*),(*),1,(*),2,(D),22,10,12,12,14,20,29,23,36,24,9,10,3,2,2,6,6,6,7,5,7,8,9,8,12,8,8,21,(D),6,8,14,12,6,(D),43,1,1,1,1,7,1,1,1,2,(D),1,2,(D),69,(D),(D),(D),(D),(D),30,25,49,122,71,26,16,(D),(D),25,12,(D),(D),(D),(D),(D),(D)
"  Finland",193,161,266,285,219,1229,649,239,333,262,262,370,0,0,0,0,0,0,0,0,0,0,0,0,101,117,175,190,145,(D),193,102,155,102,187,231,1,2,2,(*),1,(*),(*),(*),(*),(*),(*),(*),45,57,66,71,52,35,34,35,35,32,26,25,1,1,(*),1,1,1,1,2,2,2,(D),(D),(D),(D),40,(D),(D),4,(D),7,13,15,(D),51,21,17,34,35,(D),(D),(D),8,3,3,3,3,2,2,2,2,2,(*),(*),(*),(*),(*),(*),(*),1,1,0,(D),5,(*),0,0,(*),(*),1,(*),49,5,54,35,20,16,42,28,6,5,15,10,(*),(*),(*),(*),(D),(D),(D),(*),(*),(*),2,2,1,1,2,1,1,(*),(D),(D),(D),(D),7,(D),(D),(D),(D),(D),14,(D),(D),9,(D),13,(D),1,26,18,15,33,25,(D),(D),15,16,27,26,60,(D),(D),(D),(D),(D),12,(D),(D),(D),(D),(D),(D)
"  France",4392,4097,4764,4307,4854,4947,5023,5475,5645,5287,5808,5374,23,9,21,8,(D),4,3,2,1,1,1,1,2290,2085,2475,2160,2538,1846,1943,2016,2249,2193,2555,2421,219,146,126,121,114,169,168,174,178,173,176,167,754,565,620,616,680,588,604,579,596,532,611,602,98,162,109,97,118,69,95,101,154,109,141,179,105,215,526,310,467,149,166,206,283,235,194,311,248,113,129,126,157,179,151,137,157,160,159,(D),22,25,33,20,41,33,79,74,63,62,28,42,169,168,207,151,195,136,159,140,177,185,165,135,683,564,489,588,557,686,356,273,485,460,335,340,118,130,164,120,191,130,135,105,120,177,164,146,89,100,250,166,116,68,102,104,252,219,529,741,144,143,110,160,120,(D),337,(D),66,77,144,270,141,160,162,170,188,72,304,250,256,274,270,359,903,907,1093,934,(D),(D),1843,(D),2215,1885,1810,1096
"  Germany",8007,7379,7642,7569,8222,9040,7937,8007,8636,8194,7992,8101,203,(D),238,244,230,194,90,83,79,99,52,56,5373,4622,4665,4272,4409,5322,4599,4555,4552,4571,4437,4399,290,195,245,249,299,263,181,127,138,124,123,185,1105,1070,958,792,799,1209,873,1070,947,1205,1458,1016,291,309,270,193,263,201,241,237,261,244,216,205,388,384,421,464,431,476,557,428,483,646,611,582,212,418,343,225,358,476,461,424,516,395,471,509,60,71,99,151,121,139,126,154,130,128,111,122,1586,1096,1280,1151,1068,1496,1064,1299,1107,941,682,594,487,517,569,534,597,477,290,330,294,399,373,353,374,470,237,364,286,242,239,254,356,174,182,305,205,201,477,579,971,869,640,572,805,612,346,466,135,305,133,139,205,52,144,72,200,147,223,203,151,170,263,331,378,145,371,360,555,607,684,758,1081,(D),1060,1105,1146,1740,1564,1781,1795,1585,1695,1561
"  Greece",114,106,107,95,81,146,90,114,119,139,236,218,(*),(*),(*),(*),(*),0,0,0,0,0,0,0,70,49,68,59,49,80,44,35,58,86,44,46,(D),(D),(D),3,4,(D),8,9,13,12,14,7,23,14,36,36,23,11,9,12,(D),(D),13,21,(*),2,4,4,2,(D),(D),3,2,4,2,3,(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),1,1,2,1,1,(*),(*),(*),(*),(*),0,0,0,0,0,(*),(*),(*),(*),(*),0,0,(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),0,0,15,20,9,7,5,37,12,13,28,20,31,17,(*),(*),(*),(*),(*),(*),(*),(*),1,1,(*),(*),1,1,1,2,1,1,1,1,6,5,7,(D),18,24,16,16,18,16,22,16,12,12,16,13,2,3,2,1,1,2,1,2,3,(D),(D),7,7,8,10,8,6,11,11,47,12,(D),(D),(D)
"  Hungary",467,450,438,361,504,462,458,499,576,588,405,366,(D),(D),(D),(D),(D),(D),(D),20,19,(D),8,(D),242,211,302,225,289,271,315,354,419,318,223,236,(D),6,(D),(D),(D),(D),4,(D),12,14,(D),11,5,15,16,14,15,13,12,13,(D),17,(D),8,(D),(D),(D),(D),(D),17,9,14,13,5,6,5,(D),7,12,12,(D),11,7,(D),(D),(D),2,(D),21,34,7,7,15,23,52,41,46,47,60,45,(D),(D),(D),(D),(D),18,32,26,(D),6,7,6,39,54,106,68,73,64,132,77,139,86,59,85,17,22,17,14,52,35,33,11,9,9,10,11,1,1,6,(D),(D),5,5,5,(*),(*),2,2,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),5,5,14,(D),(D),18,26,(D),1,(D),(D),(D),(D),2,8,13,5,7,10,10,12,(D),5,5,(D),19,63,39,23,16,21,20,17,23,23,143,95,(D)
"  Ireland",4989,4908,6623,11660,11374,20829,12176,9302,8654,7436,7795,9531,(*),(*),(*),(D),(D),(D),(D),(D),(D),(D),(D),(D),1608,1279,1887,6415,5954,7470,3242,2126,2489,3267,3191,5044,80,28,50,(D),12,17,22,25,(D),(D),(D),22,695,691,556,384,423,651,942,1090,1100,1395,1171,1160,2,2,2,2,2,4,2,10,(D),(D),9,8,5,6,4,4,9,8,7,7,(D),(D),13,(D),243,191,868,(D),(D),(D),1487,296,609,1117,1194,(D),4,(*),1,1,1,(*),1,3,4,2,5,6,(D),(D),2,(D),(D),94,(D),(D),(D),(D),(D),2,99,48,71,197,345,270,110,150,124,121,152,188,16,15,(D),(D),(D),(D),(D),9,14,16,7,7,309,198,607,311,684,684,557,803,1237,1051,1222,908,409,350,(D),145,(D),36,45,219,148,232,176,222,57,54,92,83,87,90,128,117,99,70,204,143,2490,2964,(D),4432,(D),12197,8015,(D),(D),(D),(D),(D)
"  Italy",2729,2490,3315,2522,2471,3777,3551,3980,4311,4352,4368,4105,20,20,33,57,55,(D),(D),(D),(D),(D),(D),(D),1415,1480,2142,1145,1277,1828,1500,1682,1801,1701,1492,1576,64,63,60,41,38,45,60,49,47,48,31,43,405,346,308,271,345,368,271,310,333,394,355,357,48,35,44,48,88,54,52,52,64,88,76,59,102,185,(D),170,172,225,215,238,263,232,119,209,194,273,173,146,90,73,58,71,69,70,74,83,100,(D),(D),(D),105,(D),(D),(D),(D),48,34,28,146,98,144,114,110,163,110,105,122,140,216,124,187,145,181,170,150,264,173,125,154,173,174,217,35,39,230,224,185,123,121,207,207,213,115,70,315,171,182,167,179,166,263,238,253,262,466,283,181,31,37,92,(D),15,(D),16,48,35,50,51,219,171,129,155,120,99,219,198,166,193,233,230,357,434,382,513,(D),(D),1050,(D),(D),(D),(D),(D)
"  Luxembourg",245,276,275,352,519,1529,1452,1592,2661,1861,1830,2536,(*),(*),(*),1,5,(D),(D),(D),(D),(D),(D),(D),188,241,245,289,459,256,339,434,611,505,522,415,0,0,0,0,0,0,0,0,0,0,1,1,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1,1,(*),(*),(*),5,5,4,3,25,8,9,2,2,1,3,3,1,1,1,2,1,(D),(*),0,4,5,(D),(D),(D),(D),(D),1,1,(D),1,0,0,0,0,(D),(D),(D),7,(D),(D),7,5,(*),(*),(*),(*),(*),(*),1,(D),(D),(D),10,14,1,2,2,2,3,3,(*),(D),60,36,16,16,(*),(*),(*),1,(*),1,(*),(*),(*),(D),(D),(D),2,4,4,(D),8,32,29,95,19,17,(D),(D),28,20,7,10,25,30,(D),(D),(D),(D),640,(D),2,5,6,7,9,8,(*),(*),(*),(*),(*),1,23,5,11,(D),10,(D),267,414,1321,(D),611,1457
"  Netherlands",2580,2876,3728,3921,4227,7030,7949,6896,7646,8239,5815,5584,86,59,105,76,128,161,146,51,49,64,59,40,1274,1303,1889,2191,2186,1683,1558,2198,2660,2539,2376,2350,230,224,268,286,259,301,229,342,401,272,297,365,586,424,632,869,682,502,631,496,624,634,680,632,28,10,39,27,60,108,75,38,51,65,68,160,57,70,49,78,103,63,51,54,52,52,71,48,50,37,30,47,111,71,101,124,185,161,173,105,17,14,12,13,14,15,24,26,65,36,40,55,46,(D),(D),(D),(D),(D),60,(D),(D),(D),430,448,168,245,453,336,454,431,426,914,1258,1692,244,292,40,15,30,51,73,71,39,28,39,38,48,37,405,455,323,395,464,(D),4890,(D),(D),(D),1993,(D),186,321,397,348,312,(D),159,(D),628,760,54,91,74,103,94,160,193,180,148,130,246,429,197,236,349,375,436,365,417,453,583,610,(D),(D),843,(D)
