"anio","sector","IBF","VAB","VAB.por.ocupado","VBP","act.corriente.sobre.act.total","activo","amortizaciones.en.VAB","coef.VAB","contribuciones.sobre.costo.salarial","costo.salarial.en.VAB","deuda.sobre.activo","deuda.sobre.k.propio","empleo.asalariado","empresas","empresas.exp","empresas.imp","expo","impo","impuestos.net.subsidios.en.VAB","liq.corriente","patrimonio.neto","rentabilidad.sobre.act","rentabilidad.sobre.k.propio","result.oper.en.VAB","salario.medio","salarios","saldo.comercial.bienes","tasa.inversion","utilidad","VAN","amortizaciones","c.intermedio","contribuciones","impuesto.prod","indemnizaciones","interes.rentas.cob","interes.rentas.pag","subsidios","salarios.en.VAB","apalancamiento","autofinanciamiento","deuda.pasivo","impuestos.prod","result.oper","utilidad.en.VAB","utilidad.por.ocupado","utilidad.por.ocupado.sobre.salario.medio","VAB.precios.basicos","productividad_corrientes","masa_salarial","consumo_intermedio","ganancia_antes_de_impuestos","ganancia_despues_impuestos","activo_corriente","activo_no_corriente","stock_de_capital","indice_consumo_capital_fijo","rotacion_capital_aproximada","capital_variable_adelantado","capital_constante_circulante_adelantado","tasa_de_ganancia"
1993,"manufactura.nocat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993,"manufactura.resto",506200000,2738200000,34100,7978500000,NA,NA,15.9,34.3,25.1,66,NA,NA,80222,79,63,73,1058200000,943600000,-2.2,NA,NA,NA,NA,20.3,1298,1353700000,114600000,20.9,325100000,NA,43537380000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-32858400,-409.593378375009,-21686544,8011358400,-43548551856,-43548551856,NA,NA,2612242800,NA,NA,NA,NA,NA
1993,"manufactura.subtotal",2262700000,16287600000,55600,46902700000,NA,NA,8.9,34.7,25.5,44.3,NA,NA,293052,323,264,283,6696000000,5733900000,25.2,NA,NA,NA,NA,21.5,1412,5380600000,962100000,16,2871100000,NA,144959640000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4267351200,14561.7542279186,1890436581.6,42635348800,-142582725381.6,-142582725381.6,NA,NA,8697578400,NA,NA,NA,NA,NA
1993,"manufactura.textiles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993,"minas",1149900000,2450600000,281600,3784900000,NA,NA,25.5,64.8,25.1,14.7,NA,NA,8703,13,9,8,506000000,17600000,1.9,NA,NA,NA,NA,57.9,2384,269700000,488400000,46,914500000,NA,62490300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71067400,8165.85085602666,10446907.8,3713832600,-62429679507.8,-62429679507.8,NA,NA,3749418000,NA,NA,NA,NA,NA
1993,"otras.comercio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993,"otras.comunicaciones",2060200000,3651600000,51100,5389500000,NA,NA,20.2,67.8,24.1,42.6,NA,NA,71426,14,NA,NA,NA,NA,6.2,NA,NA,NA,NA,31,1273,1181900000,NA,56.7,945700000,NA,73762320000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,262915200,3680.94531403131,112001875.2,5126584800,-73611406675.2,-73611406675.2,NA,NA,4425739200,NA,NA,NA,NA,NA
1993,"otras.construccion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993,"otras.electricidad.gas.agua",2873300000,3076200000,56600,7559600000,NA,NA,14,40.7,24.1,50.6,NA,NA,54362,31,NA,NA,NA,NA,8.8,NA,NA,NA,NA,26.5,1674,1182900000,NA,95.1,364900000,NA,43066800000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,301467600,5545.55755858872,152542605.6,7258132400,-42917875005.6,-42917875005.6,NA,NA,2584008000,NA,NA,NA,NA,NA
1993,"otras.nocat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993,"otras.resto",821800000,5056800000,27700,10700400000,NA,NA,13.2,47.3,22.6,67.4,NA,NA,182715,119,NA,NA,NA,NA,-5.3,NA,NA,NA,NA,24.6,1112,2640200000,NA,14.5,764300000,NA,66749760000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-217442400,-1190.06321320089,-146556177.6,10917842400,-66820646222.4,-66820646222.4,NA,NA,4004985600,NA,NA,NA,NA,NA
1993,"otras.subtotal",5755400000,11784700000,NA,23649500000,NA,NA,NA,NA,NA,NA,NA,NA,308503,164,19,80,180400000,1398200000,NA,NA,NA,NA,NA,NA,NA,5005000000,-1217900000,NA,2074800000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993,"otras.transporte.almacenamiento",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993,"total",9167900000,30522900000,50000,74337100000,NA,NA,12.8,41.1,24.5,46.2,NA,NA,610258,500,292,371,7382400000,7149800000,14.4,NA,NA,NA,NA,26.6,1343,10655300000,232599999.999999,31,5860500000,NA,390693120000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4700526600,7702.52352283788,2171643289.2,69636573400,-388164236689.2,-388164236689.2,NA,NA,23441587200,NA,NA,NA,NA,NA
1994,"k.ext.part.50.percent",4467100000,10102600000,97200,22656400000,NA,NA,21.3,44.6,22.2,30.1,NA,NA,103951,68,43,62,2462700000,1693100000,14.9,NA,NA,NA,NA,33.7,1751,2365800000,769600000,46,2778100000,NA,215185380000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1606313400,15452.6017065733,483500333.4,21050086600,-214062566933.4,-214062566933.4,NA,NA,12911122800,NA,NA,NA,NA,NA
1994,"k.ext.part.50a98.9.percent",2239800000,6069500000,85500,14386600000,NA,NA,9.7,42.2,22.5,31.5,NA,NA,70979,71,39,67,1084200000,2881500000,32.6,NA,NA,NA,NA,26.3,1605,1481000000,-1797400000,41,1151700000,NA,58874150000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2039352000,28731.7657335268,642395880,12347248000,-57477193880,-57477193880,NA,NA,3532449000,NA,NA,NA,NA,NA
1994,"k.ext.part.99a100.percent",1054500000,6439000000,82100,16411900000,NA,NA,8.6,39.2,21.8,38,NA,NA,78449,103,92,100,2738900000,3306000000,21.7,NA,NA,NA,NA,31.7,1873,1910500000,-567100000,20.8,1888500000,NA,55375400000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1461653000,18631.8882331196,555428140,14950247000,-54469175140,-54469175140,NA,NA,3322524000,NA,NA,NA,NA,NA
1994,"k.ext.subtotal",7761300000,22611200000,89200,53454900000,NA,NA,14.6,42.3,22.1,32.7,NA,NA,253379,242,174,229,6285700000,7880600000,21.6,NA,NA,NA,NA,31.1,1748,5757200000,-1594900000,37.5,5818400000,NA,330123520000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5110131200,20167.9349906662,1671012902.4,48344768800,-326684401702.4,-326684401702.4,NA,NA,19807411200,NA,NA,NA,NA,NA
